Customer ID,Customer Name,Email,Phone,Country,Gender,Age,Company Name,Customer Type,Subscription Type,Benefits of Membership Type,Subscription Duration,Subscription Date,Subscription Price,Product ID,Product Type,Inquries,Assistance Type,Sales Rep ID,Sales Rep Name,Sales Rep Email,Sales Rep Phone,Cost of Product,Sales Amount,Sales Date,Sales Time,Payment Method,Demo Scheduled,Promotional Event Participation,Promotional Event,Response Time (days),Product Status,Meaning,Refund Amount,Product Rating,Comments,Profit,Loss
575406d2-cd85-448d-aa4b-54deb919d018,Vanessa Knight,johnsonjoshua@example.net,+475098658225,San Marino,Female,38,"Daniel, Rivera and Hooper",Subscriber,Premium,Exclusive offers,Monthly,2023-07-05,50.0,147,Prototyping Tool,Issue with product,Sales Representative,6e4e919f-778b-46e0-9f02-f0ff966dc060,Daniel Webster,millerjames@example.org,265.576.7685,49.45,209.64,2025-11-13,19:03:31,Skrill,Yes,No,AI Technology Expos,8,In Progress,Work on the product is underway.,0.0,,,0.0,0.0
9e161329-d53b-4557-bc89-3e1bdcf3693a,Brian Castillo DDS,seanmarsh@example.com,+9686849094297,Seychelles,Male,38,Rubio and Sons,Subscriber,Free,Basic support,Monthly,2023-02-12,0.0,118,Chatbot and Conversational AI Platforms,Promotional event,AI-powered virtual assistant,N/A,N/A,N/A,N/A,38.16,291.75,2024-06-07,18:29:14,PayPal,Yes,No,Panel Discussions with AI Experts,8,On Hold,The product delivery has been temporarily paused.,0.0,,,0.0,0.0
cddc7b7f-ef83-4b95-b76e-860c96a2f94d,Donald Wilson,xjohnson@example.net,+319725735198,Saint Pierre and Miquelon,Female,33,Torres-Cox,Subscriber,Free,Basic support,Yearly,2023-04-30,0.0,146,Content Management System (CMS),Promotional event,Sales Representative,49b88aaf-bdfb-4928-bef1-4fe898aa3087,Lauren Buck,osmith@example.org,001-438-202-1506,62.2,287.79,2022-09-02,06:00:50,Airpay,No,No,Webinars on AI Integration in Business,4,On Hold,The product delivery has been temporarily paused.,0.0,,,0.0,0.0
6a7081a1-27c5-45b7-94e5-61c471686cb7,Paula Bishop,farmerthomas@example.com,+1169098454860,El Salvador,Female,55,"Butler, Rhodes and Stokes",Subscriber,Standard,Basic support,Monthly,2024-06-07,25.0,193,Email Marketing Software,Product question,Sales Representative,7c67065c-1f68-44a9-a7bb-76aa261b42e4,Summer Stevens,hineskristen@example.com,294-741-8108x640,81.09,155.86,2023-05-24,08:08:01,PayPal,No,No,AI Technology Expos,2,Completed,The product has been successfully delivered.,0.0,4.0,Loved Highly recommend Will buy again Will buy again Highly recommend.,74.77,0.0
88f2c88b-1000-4eee-802b-e5621948923e,Brian Wilson,coopermelanie@example.com,+1652532823091,Syrian Arab Republic,Female,37,Snow Inc,Subscriber,Free,Basic support,Yearly,2025-06-02,0.0,152,Artificial Intelligence (AI) Analytics Tool,Product question,AI-powered virtual assistant,N/A,N/A,N/A,N/A,37.45,163.19,2025-12-06,08:55:18,Skrill,No,Yes,Workshops on Prototyping Solutions,4,In Progress,Work on the product is underway.,0.0,,,0.0,0.0
6007b077-db82-4669-9130-5f351f955b69,Tyrone Bishop,wwyatt@example.com,+12353494974,Kenya,Female,48,Koch-Williams,Non-Subscriber,Standard,Basic support,Yearly,2024-04-27,25.0,166,Collaboration Platform,Product question,AI-powered virtual assistant,N/A,N/A,N/A,N/A,57.45,171.62,2022-07-16,13:34:30,Skrill,Yes,No,AI Technology Expos,7,Completed,The product has been successfully delivered.,0.0,3.0,Will Buy Again Will buy again Will buy again.,114.17,0.0
9675d8df-72a3-482f-951d-20eb13114b00,Kaylee Stewart,larsonjoel@example.com,+432446565517,Lao People's Democratic Republic,Female,38,Smith Group,Non-Subscriber,Free,Exclusive offers,Yearly,2025-10-18,0.0,187,Content Management System (CMS),Promotional event,AI-powered virtual assistant,N/A,N/A,N/A,N/A,27.83,294.92,2022-06-10,15:01:02,Credit Card,No,No,AI-Driven Marketing Strategy Sessions,7,Cancelled,The order was cancelled before completion.,274.92,1.0,Cancellation Due To Delays Service was not as described Service was not as described Service was not as described Service was not as described Service was not as described Service was not as described.,-7.83,7.83
5730a2a8-b0bd-4a17-bc4d-93da7488ec54,Alyssa Valenzuela,christopher31@example.com,+829327412045,Djibouti,Female,31,Mata-Adams,Non-Subscriber,Standard,Basic support,Yearly,2022-05-04,25.0,183,Point of Sale (POS) Systems,Product question,AI-powered virtual assistant,N/A,N/A,N/A,N/A,36.45,152.4,2022-06-04,05:26:29,PayPal,Yes,Yes,Webinars on AI Integration in Business,9,On Hold,The product delivery has been temporarily paused.,0.0,,,0.0,0.0
d25c6488-1eb2-4dfe-8f74-35411390a216,Gina Frederick,tammy86@example.com,+1663644701394,Singapore,Male,32,"Bell, Perry and Contreras",Non-Subscriber,Free,Basic support,Yearly,2023-04-12,0.0,174,Email Marketing Software,Promotional event,Sales Representative,7cbd2bc0-a233-48bf-8662-2445f867ea5e,Frank Garrison,michael18@example.org,+1-420-576-4904x9628,54.66,257.29,2023-02-03,04:45:05,PayPal,No,No,AI Technology Expos,3,In Progress,Work on the product is underway.,0.0,,,0.0,0.0
b75841df-4f69-4501-a3fd-d44d70ba3106,Joshua Taylor,masonisabella@example.net,+107341414194,Grenada,Male,47,"Banks, Delacruz and Thompson",Non-Subscriber,Free,Exclusive offers,Yearly,2025-07-30,0.0,183,Content Management System (CMS),Promotional event,Sales Representative,daa7177a-7035-4096-85ae-6c56e7ae7c76,Katrina Berry,adriansims@example.org,(872)566-1304,88.32,275.19,2024-11-04,21:10:18,Credit Card,Yes,Yes,AI-Driven Marketing Strategy Sessions,7,Completed,The product has been successfully delivered.,0.0,3.0,Highly Recommend Loved Loved Excellent.,186.87,0.0
