Year,Country,Customer Name,Email,Phone Number,Job Requested,Response Time,Event Participation,Page Accessed,Sales Revenue,Payment Method,Resolution Status,Satisfaction Rating
2025,Canada,Casey Rivera,emilyolson@example.org,120-034-3511,AI-Powered Virtual Assistant,"(42,)",No,/images/events.jpg,449.6765104997346,Credit Card,Failed,6
2024,Canada,Christina Gill,bbailey@example.com,+1 (661) 916-7574,Prototyping solutions,"(14,)",No,/index.html,236.50980029069996,Bank Transfer,Pending,5
2024,Netherlands,Brian Fisher,millersusan@example.net,(625)679-0848,Chatting with Sales Representative,"(26,)",No,/images/events.jpg,234.47726619998767,Debit Card,Failed,5
2024,Zambia,Alan Baker,vegajose@example.org,4283657389,Chatting with Sales Representative,"(57,)",No,/index.html,157.83979739357335,Credit Card,Resolved,5
2023,Zambia,Sandra Nicholson,denise60@example.com,001-465-621-3334x97307,Prototyping solutions,"(43,)",No,/scheduledemo.php,473.20021716616225,PayPal,Failed,5
2024,USA,Jackie Hale,ian02@example.net,+1-861-605-6692,Software Assistance,"(8,)",No,/event.php,409.4853963597167,PayPal,Resolved,6
2023,Zimbabwe,Madison Franklin,gsawyer@example.net,(861)941-4952x00577,AI-Powered Virtual Assistant,"(59,)",Yes,/images/events.jpg,317.62918884982895,Debit Card,Failed,5
2023,Zimbabwe,Ryan Mcdonald,yujacob@example.org,(784)859-7586x658,Prototyping solutions,"(42,)",No,/index.html,271.85869661814024,Credit Card,Pending,5
2023,Brazil,Debbie Baker,justin10@example.com,+55 31 2873 3797,Inquiring about Events,"(41,)",No,/scheduledemo.php,150.6886755154223,Bank Transfer,Resolved,4
2022,China,Ann Wilson,robinalexander@example.org,18850829046,AI-Powered Virtual Assistant,"(40,)",No,/images/events.jpg,153.8611860544379,Debit Card,Failed,4
2023,Russia,Tyler Walker,sandra59@example.com,+7 (931) 207-9287,Prototyping solutions,"(5,)",No,/index.html,177.51214770069623,Bank Transfer,Failed,3
2022,France,Henry Burgess,paul85@example.org,+33 (0)3 85 37 89 23,Chatting with Sales Representative,"(8,)",No,/scheduledemo.php,462.3208236360399,Debit Card,Pending,3
2023,USA,Brent Martin,randybender@example.net,(579)835-9619x9130,Software Assistance,"(10,)",Yes,/event.php,442.2290291749471,Bank Transfer,Pending,2
2022,UK,Crystal Jones,rebecca64@example.com,001-767-384-7463x24173,Inquiring about Events,"(53,)",Yes,/event.php,388.34357100416617,Bank Transfer,Failed,2
2024,Germany,Danielle Barnes,brianpittman@example.org,04851 101067,Inquiring about Events,"(7,)",Yes,/scheduledemo.php,135.24931988865902,Bank Transfer,Resolved,4
2025,Spain,Allen Weaver,chloe71@example.com,760.365.3537x4237,Chatting with Sales Representative,"(22,)",Yes,/images/events.jpg,217.212607580219,Debit Card,Failed,2
2024,Jamaica,Samantha Johnson,aaron12@example.org,268.532.1231x41498,AI-Powered Virtual Assistant,"(54,)",Yes,/prototype.php,184.53451807346295,Credit Card,Resolved,4
2022,Zambia,Jordan Hoffman,hcaldwell@example.net,+1-412-922-4171x445,Prototyping solutions,"(60,)",Yes,/prototype.php,459.11274201587787,Credit Card,Pending,5
2024,Netherlands,Jason Steele,davidhancock@example.net,251-805-7627,Software Assistance,"(60,)",Yes,/images/events.jpg,346.80408580331766,PayPal,Pending,6
2025,Portugal,Calvin Simon,alyssayates@example.net,477-599-5470,Inquiring about Events,"(37,)",Yes,/images/events.jpg,174.14974029189545,Debit Card,Pending,2
2022,Portugal,Crystal Walsh,idavenport@example.org,(601)491-5623,Scheduled Demo,"(32,)",No,/images/events.jpg,280.29796468094673,Credit Card,Pending,2
