Year,Country,Customer Name,Email,Phone Number,Job Requested,Event Participation,Page Accessed,Sales Revenue,Payment Method,Resolution Status,Satisfaction Rating
2022,Canada,Dawn Gomez,tswanson@example.net,334.741.0145,AI-Powered Virtual Assistant,No,/images/events.jpg,272.0099826120818,PayPal,Pending,5
2025,Zimbabwe,Daniel Thomas,joshuasmith@example.net,+1-747-654-2173x2587,Software Assistance,Yes,/images/events.jpg,242.2157706516689,Debit Card,Resolved,6
2025,Canada,Abigail Johnson PhD,annedavid@example.com,(766) 154-3994 x176,Prototyping solutions,No,/images/events.jpg,106.40149888782253,PayPal,Failed,2
2024,Canada,Jon Scott,lisa67@example.org,+1 (414) 323-0609,Prototyping solutions,No,/prototype.php,256.797870970858,PayPal,Failed,6
2023,Canada,Tyler Bailey,uwright@example.net,185 720 0434,Prototyping solutions,Yes,/index.html,390.33873272956566,Bank Transfer,Resolved,3
2023,Portugal,Ann Foster,kristina84@example.com,250.397.7849x63118,Scheduled Demo,Yes,/scheduledemo.php,325.91141978932484,PayPal,Failed,3
2022,Portugal,Jennifer Johnston,murrayzachary@example.com,001-611-370-0219x84687,Prototyping solutions,No,/event.php,129.33079631802755,PayPal,Failed,2
2022,Russia,Linda Lucero,sarahsimon@example.net,+7 991 231 3855,Scheduled Demo,No,/prototype.php,320.3741556735667,Debit Card,Resolved,2
2024,Canada,Jacob Liu,jonathanjohnson@example.net,409 116 9708,AI-Powered Virtual Assistant,No,/images/events.jpg,246.14109154351755,Credit Card,Failed,2
2022,Russia,Jason Lin,ericcampbell@example.org,84710369274,Scheduled Demo,No,/index.html,288.90151068438564,Bank Transfer,Pending,2
2023,Zambia,Joseph Harris,elizabethrobbins@example.org,(749)547-8140,AI-Powered Virtual Assistant,No,/images/events.jpg,268.6772783495802,Credit Card,Resolved,6
2025,Spain,Jill Love,amywalker@example.org,714-975-9297x3261,Scheduled Demo,No,/scheduledemo.php,276.4758422131491,Bank Transfer,Resolved,4
2022,Zambia,Michelle Hale,katherinemclean@example.net,(891)419-1376,Software Assistance,No,/index.html,357.5392177979933,Credit Card,Failed,4
2022,India,Clinton Nguyen,juliesmith@example.net,06330510061,Chatting with Sales Representative,Yes,/images/events.jpg,395.21161756803684,Bank Transfer,Resolved,5
2024,Jamaica,Terry Chandler,keithhughes@example.org,719-231-9466x66416,AI-Powered Virtual Assistant,No,/scheduledemo.php,122.07689740890694,Credit Card,Resolved,4
2022,France,Brian Rowe,haysjoseph@example.net,0638598512,Prototyping solutions,No,/prototype.php,120.88396739810352,Credit Card,Pending,3
2023,France,Riley Rowe,udavis@example.net,05 47 56 52 51,Inquiring about Events,Yes,/prototype.php,194.77445239725586,Credit Card,Resolved,3
2024,China,Todd Vargas,vpotts@example.org,13087906728,AI-Powered Virtual Assistant,No,/images/events.jpg,363.17039221465075,Credit Card,Resolved,5
2022,Russia,Bradley Hodge,lawrencetasha@example.com,+7 603 184 6423,AI-Powered Virtual Assistant,No,/event.php,173.66313497786336,PayPal,Resolved,6
2022,Japan,Jeffrey Cooper,mho@example.org,080-4578-9903,Inquiring about Events,Yes,/event.php,168.11795826104952,Debit Card,Pending,4
2022,Jamaica,Eddie Nguyen,swright@example.com,(673)810-4773x682,Chatting with Sales Representative,Yes,/event.php,402.3190252607992,PayPal,Pending,6
2025,UK,Katherine Fisher,dakotachavez@example.com,+44(0)131 4960014,Chatting with Sales Representative,Yes,/scheduledemo.php,254.68886607298646,PayPal,Failed,5
2025,Zimbabwe,Johnny Miller,jeffery45@example.com,(468)772-2725x8542,Prototyping solutions,Yes,/scheduledemo.php,186.67377407489073,PayPal,Pending,6
2023,Netherlands,Monica Nguyen,carolyn28@example.com,+1-890-921-0955x217,Prototyping solutions,Yes,/scheduledemo.php,371.9750176174561,Bank Transfer,Failed,3
2025,Portugal,Kimberly Smith,ydelgado@example.org,(604)846-8568x42799,Chatting with Sales Representative,Yes,/scheduledemo.php,192.0137307587273,Bank Transfer,Resolved,5
2023,Brazil,Tabitha Hall,carlsonangel@example.net,81 8423-9195,Chatting with Sales Representative,Yes,/index.html,106.58518302847,PayPal,Resolved,3
2025,Portugal,James Murray,dominiquedalton@example.com,886-631-8680,Scheduled Demo,No,/images/events.jpg,288.21823827352864,Debit Card,Failed,2
2025,China,Sierra Hess,samuelsmith@example.net,18013663482,Chatting with Sales Representative,No,/prototype.php,300.48902006813614,Debit Card,Pending,2
2023,China,Chris Harrison,yfranklin@example.net,13779914568,Inquiring about Events,Yes,/index.html,452.4388834204506,Bank Transfer,Failed,6
2022,China,Suzanne Suarez,joshua14@example.com,15779697818,Scheduled Demo,Yes,/images/events.jpg,237.96023879088435,Credit Card,Failed,6
2024,Germany,Vanessa Clark,cmanning@example.org,+49(0) 948950414,Prototyping solutions,Yes,/scheduledemo.php,238.47540944585884,Debit Card,Resolved,4
2025,Australia,Anne Mitchell,dcollins@example.net,0441 892 482,Inquiring about Events,Yes,/images/events.jpg,153.7680687100028,Debit Card,Resolved,5
2024,France,Kaitlyn Mendoza,wsellers@example.net,05 35 11 86 57,Inquiring about Events,Yes,/index.html,415.90183243441237,Debit Card,Failed,5
2023,Zimbabwe,Victor Silva,fhernandez@example.net,206.213.7408x751,Chatting with Sales Representative,No,/event.php,206.25485812957572,Bank Transfer,Pending,5
2025,China,Adam Brown,lesliegallagher@example.net,13812732301,Scheduled Demo,No,/prototype.php,120.37092370392327,Credit Card,Resolved,4
2023,Brazil,Cody Gonzalez,brooksmatthew@example.net,+55 (051) 0601 6406,Prototyping solutions,No,/images/events.jpg,279.7013160177816,Credit Card,Pending,5
2025,Zimbabwe,Robert Martinez,jessica22@example.org,001-437-860-5656,Software Assistance,Yes,/prototype.php,412.69397878484256,Bank Transfer,Failed,5
2022,China,Tara Lloyd,melanie97@example.com,18115992400,Inquiring about Events,Yes,/index.html,169.61231482442062,Debit Card,Resolved,3
2024,Spain,Susan Rogers,michelle38@example.org,534-980-2473,Inquiring about Events,Yes,/event.php,153.36378326110713,PayPal,Pending,6
2023,Jamaica,Kristie Wilson,leethomas@example.com,3032097046,Chatting with Sales Representative,Yes,/event.php,404.38585046889784,Bank Transfer,Failed,3
2025,France,Emily Morgan,taylor14@example.net,01 48 94 24 55,Inquiring about Events,No,/prototype.php,140.34438278843885,PayPal,Pending,5
2024,Spain,Ryan Jackson,steven78@example.org,+1-731-555-5553x8061,Prototyping solutions,Yes,/images/events.jpg,236.764917921289,Bank Transfer,Pending,2
2025,Germany,Kristen Thompson,jeremy68@example.net,+49(0)0122 992919,Prototyping solutions,No,/index.html,197.53525728276165,Debit Card,Pending,6
2025,Canada,Sean Ingram,sallyreed@example.com,242-291-1606,Chatting with Sales Representative,Yes,/scheduledemo.php,415.28274742228075,Credit Card,Resolved,6
2024,Japan,Erica Conley,ileach@example.net,070-0254-9980,Inquiring about Events,No,/event.php,234.75276287418407,Credit Card,Resolved,5
2022,Russia,Jeffrey Turner,jkent@example.net,+7 352 557 07 24,Prototyping solutions,No,/event.php,257.83544592556103,Bank Transfer,Pending,3
2025,China,Beverly Ashley,amber08@example.org,18271754576,Inquiring about Events,No,/prototype.php,314.04701987289377,Debit Card,Pending,4
2024,Spain,Sara Stevens,bradleyleah@example.com,980-219-2228x4376,Scheduled Demo,No,/event.php,394.5119290515319,Credit Card,Failed,3
2024,Jamaica,Mark Maldonado,roberthayes@example.org,001-636-568-4958x16116,Scheduled Demo,Yes,/index.html,321.20621786318543,Bank Transfer,Failed,2
2024,Australia,Catherine Wallace,henry25@example.net,0435.703.811,AI-Powered Virtual Assistant,Yes,/prototype.php,166.01147806991236,Bank Transfer,Resolved,4
2025,China,Ryan Winters,debbiebecker@example.org,13630369982,AI-Powered Virtual Assistant,Yes,/index.html,188.6542048104164,Bank Transfer,Resolved,2
