Year,Country,Customer Name,Email,Phone Number,Job Requested,Response Time,Event Participation,Page Accessed,Sales Revenue,Payment Method,Resolution Status,Satisfaction Rating
2023,Spain,Ronald Jackson,wsullivan@example.net,001-918-397-8314x975,Prototyping solutions,"(10,)",Yes,/index.html,215.30343492358438,PayPal,Resolved,4
2022,Brazil,Michael Pruitt,dianeray@example.net,51 1543 2885,Software Assistance,"(13,)",Yes,/index.html,228.37391157479036,Credit Card,Pending,8
2022,Australia,Randall Cross,erintaylor@example.com,1414-7743,Scheduled Demo,"(51,)",No,/event.php,467.2463319980722,PayPal,Pending,6
2024,Germany,Chase Brennan,curtisclements@example.com,0569444878,Scheduled Demo,"(54,)",Yes,/prototype.php,144.7947585690457,Credit Card,Failed,7
2025,Australia,Jonathan Thomas,cartergregory@example.org,(08)-0296-2383,Scheduled Demo,"(2,)",Yes,/event.php,276.3572805239362,Debit Card,Failed,8
2024,Russia,James King,mathisbrian@example.com,8 877 420 7975,Chatting with Sales Representative,"(59,)",Yes,/scheduledemo.php,313.9059215488635,Debit Card,Resolved,5
2023,USA,Amber Bautista,jodyryan@example.org,8243134309,Software Assistance,"(5,)",No,/index.html,206.36394319260685,Credit Card,Failed,7
2025,India,Matthew Sullivan,reyesmelissa@example.org,05295475238,Scheduled Demo,"(48,)",No,/images/events.jpg,279.23802808445816,Credit Card,Resolved,6
2025,Zambia,Kristen Gregory,anthony12@example.org,+1-379-701-8172x29050,Scheduled Demo,"(20,)",No,/prototype.php,123.57548626093492,Bank Transfer,Pending,6
2023,Netherlands,Joseph Turner,andrew24@example.net,213.617.6637x0429,Software Assistance,"(59,)",No,/event.php,150.97103223416724,Debit Card,Resolved,5
2022,UK,Kimberly Davis,andreamendoza@example.org,743.388.7587x0758,AI-Powered Virtual Assistant,"(21,)",Yes,/scheduledemo.php,413.5595020187028,Credit Card,Pending,4
2025,UK,Chloe Murillo,justin73@example.com,657.529.0897x7089,Software Assistance,"(5,)",No,/index.html,219.1637929117601,Credit Card,Pending,7
2025,Canada,Casey Rivera,emilyolson@example.org,120-034-3511,AI-Powered Virtual Assistant,"(42,)",No,/images/events.jpg,208.45730175422065,Credit Card,Resolved,8
2024,Zimbabwe,Yesenia Bates,watsonmason@example.net,4124118387,AI-Powered Virtual Assistant,"(28,)",No,/images/events.jpg,318.1298889505737,PayPal,Resolved,8
2024,India,Tara Pierce,uhoffman@example.org,2884394647,AI-Powered Virtual Assistant,"(5,)",Yes,/scheduledemo.php,464.9289481569073,Bank Transfer,Failed,7
2024,Canada,Christina Gill,bbailey@example.com,+1 (661) 916-7574,Inquiring about Events,"(14,)",Yes,/index.html,287.36604793753645,Bank Transfer,Resolved,7
2025,Zambia,Wendy Warren,amy39@example.com,584.665.1236x8669,Chatting with Sales Representative,"(25,)",No,/index.html,251.17647713728627,Debit Card,Pending,7
2024,India,Michael Atkinson,jonathanjones@example.org,+913894139900,Scheduled Demo,"(60,)",No,/event.php,143.2997588743055,Bank Transfer,Pending,8
2022,Canada,Dr. Brian Cox,osmith@example.net,1-892-641-2053,Inquiring about Events,"(8,)",Yes,/scheduledemo.php,382.53342500632965,Debit Card,Failed,8
2023,Spain,Gabriel Johnson,richardsoncharles@example.com,+1-893-329-4630x3057,Inquiring about Events,"(53,)",No,/scheduledemo.php,118.70122846236856,Credit Card,Pending,5
2023,Japan,Kenneth Grimes,yprice@example.com,070-4988-1147,Chatting with Sales Representative,"(11,)",No,/scheduledemo.php,411.5283598679659,Credit Card,Failed,8
2024,Germany,Eugene Wong,qjohnson@example.com,+49(0)8563 66409,Scheduled Demo,"(33,)",Yes,/index.html,142.46530926777532,Debit Card,Resolved,6
2025,UK,Morgan Gonzalez,srios@example.net,(664)223-7087x34990,Inquiring about Events,"(30,)",No,/scheduledemo.php,390.21387613316455,Bank Transfer,Failed,7
2025,Canada,Nicole Brewer,samanthapowell@example.net,459-488-3359 x580,Inquiring about Events,"(53,)",No,/scheduledemo.php,362.9139745110861,Bank Transfer,Pending,4
2022,Japan,Phillip Carrillo,erobbins@example.com,080-8139-3532,Software Assistance,"(44,)",Yes,/index.html,186.0823341009165,Debit Card,Pending,5
2024,Netherlands,Brian Fisher,millersusan@example.net,(625)679-0848,AI-Powered Virtual Assistant,"(26,)",No,/images/events.jpg,169.54250096788664,Debit Card,Pending,7
2024,Zambia,Alan Baker,vegajose@example.org,4283657389,AI-Powered Virtual Assistant,"(57,)",Yes,/index.html,453.4550859990362,Credit Card,Failed,7
2025,USA,Christine Stevenson,rachelcannon@example.com,001-431-730-1551x38184,Inquiring about Events,"(13,)",No,/event.php,203.92699604658114,PayPal,Failed,5
2023,Australia,Nicholas Melendez,donnaweiss@example.org,+61240021407,Chatting with Sales Representative,"(25,)",No,/prototype.php,413.53732168202066,Debit Card,Pending,6
2023,Germany,Jennifer Garcia,amandakennedy@example.org,01097 94064,Chatting with Sales Representative,"(8,)",Yes,/images/events.jpg,335.3699809066459,Bank Transfer,Resolved,8
2023,UK,Carrie Dunn,katkins@example.org,247.577.0387x4649,AI-Powered Virtual Assistant,"(13,)",Yes,/event.php,488.9109102434066,Bank Transfer,Failed,4
2022,Jamaica,Connie Orr,angel10@example.com,520-286-7054,Inquiring about Events,"(4,)",No,/prototype.php,163.10155142137825,PayPal,Pending,5
2022,Russia,William Reese,shari15@example.net,+7 (073) 845-84-32,Prototyping solutions,"(6,)",No,/images/events.jpg,114.60432925402766,PayPal,Pending,7
2025,Australia,Robert Price MD,lbennett@example.com,0438.412.016,Scheduled Demo,"(32,)",Yes,/event.php,185.39066951121086,Bank Transfer,Pending,4
2022,Germany,Patricia Robinson,katieyates@example.com,0341110371,Software Assistance,"(37,)",Yes,/prototype.php,194.8292011102657,Debit Card,Pending,4
2023,Zambia,Sandra Nicholson,denise60@example.com,001-465-621-3334x97307,Prototyping solutions,"(43,)",Yes,/scheduledemo.php,434.7781986338758,PayPal,Pending,7
2024,Portugal,Samantha Alexander,reedkathleen@example.org,(955)377-9917,Inquiring about Events,"(58,)",No,/scheduledemo.php,463.40739297721734,Bank Transfer,Resolved,7
2023,Jamaica,Theresa Brown,suttoncorey@example.org,592.974.5168x899,AI-Powered Virtual Assistant,"(27,)",Yes,/images/events.jpg,441.79489113258836,PayPal,Failed,5
2025,France,Roberta Howell,tylerronald@example.org,+33 (0)1 48 39 49 39,Inquiring about Events,"(15,)",No,/prototype.php,205.6879466705148,PayPal,Pending,4
2024,USA,Jackie Hale,ian02@example.net,+1-861-605-6692,Chatting with Sales Representative,"(8,)",Yes,/event.php,455.0500847333299,PayPal,Pending,8
2022,China,Mandy Rollins,carrolldennis@example.net,18900852056,Software Assistance,"(46,)",No,/images/events.jpg,365.94167595113737,PayPal,Failed,7
2023,Zimbabwe,Madison Franklin,gsawyer@example.net,(861)941-4952x00577,Prototyping solutions,"(59,)",No,/images/events.jpg,496.58861022913294,Debit Card,Resolved,7
2022,Zambia,Dr. Jessica Clark,kirk41@example.com,+1-922-616-9840x4545,Software Assistance,"(23,)",No,/images/events.jpg,158.11853660911814,Credit Card,Pending,5
2024,Japan,William Smith,carrmicheal@example.net,090-2049-3344,Prototyping solutions,"(14,)",No,/index.html,455.295880909505,Bank Transfer,Resolved,8
2023,Zimbabwe,Ryan Mcdonald,yujacob@example.org,(784)859-7586x658,AI-Powered Virtual Assistant,"(42,)",Yes,/index.html,363.53431693091176,Credit Card,Pending,7
2023,Brazil,Tara Nguyen,guerrerocandace@example.com,41 4793-4913,Scheduled Demo,"(50,)",No,/index.html,150.52151950000098,PayPal,Resolved,4
2025,Zambia,Natalie Montgomery,melissa10@example.net,818-521-6977,Inquiring about Events,"(5,)",No,/event.php,302.9669869935235,PayPal,Resolved,4
2024,Russia,Kevin Wang,brett52@example.net,+7 770 312 95 40,Chatting with Sales Representative,"(14,)",No,/images/events.jpg,257.3442024846935,Credit Card,Failed,4
2023,Russia,Chad Ray,kathy52@example.com,+78237933471,Inquiring about Events,"(31,)",No,/images/events.jpg,422.9314925465939,Bank Transfer,Resolved,6
2022,Netherlands,Angela Michael,stevencooke@example.net,459-980-6638x27175,Prototyping solutions,"(32,)",Yes,/prototype.php,277.74180588759606,Debit Card,Failed,8
2022,Zimbabwe,Gabrielle Long,ryannavarro@example.org,+1-252-418-6321,Scheduled Demo,"(41,)",Yes,/event.php,162.63469626663127,Bank Transfer,Pending,6
2023,Brazil,Debbie Baker,justin10@example.com,+55 31 2873 3797,AI-Powered Virtual Assistant,"(41,)",Yes,/scheduledemo.php,445.16239408410667,Bank Transfer,Pending,6
2022,Germany,Megan Richardson,staceyprice@example.com,00647 48664,Software Assistance,"(27,)",Yes,/event.php,184.00071975559857,Bank Transfer,Failed,6
2022,Germany,Scott Ayers,joseph73@example.org,+49(0)3827 10722,Chatting with Sales Representative,"(39,)",Yes,/scheduledemo.php,344.7625555895825,PayPal,Resolved,4
2023,Canada,Amy Maynard,xsullivan@example.net,(109) 556-4772,Prototyping solutions,"(2,)",No,/index.html,249.02345978253177,Debit Card,Resolved,6
2022,China,Ann Wilson,robinalexander@example.org,18850829046,Prototyping solutions,"(40,)",No,/images/events.jpg,300.51745803389275,Debit Card,Failed,6
2023,Russia,Tyler Walker,sandra59@example.com,+7 (931) 207-9287,Scheduled Demo,"(5,)",Yes,/index.html,238.7296016549096,Bank Transfer,Pending,5
2022,Jamaica,Mary Collins,wsullivan@example.com,472-359-0708x94719,Chatting with Sales Representative,"(23,)",Yes,/event.php,201.91221234429128,Bank Transfer,Resolved,5
2024,India,Stephanie Whitehead,leekeith@example.net,0132065695,Chatting with Sales Representative,"(35,)",Yes,/images/events.jpg,309.7896906648177,Credit Card,Pending,5
2022,France,Henry Burgess,paul85@example.org,+33 (0)3 85 37 89 23,Inquiring about Events,"(8,)",Yes,/scheduledemo.php,467.93270231664457,Debit Card,Pending,5
2023,Jamaica,Calvin Gamble,davieselizabeth@example.org,308.671.9103,Scheduled Demo,"(35,)",Yes,/event.php,429.2632712377044,Credit Card,Pending,4
2024,Jamaica,Betty Richard,thernandez@example.net,+1-435-364-1154,Chatting with Sales Representative,"(18,)",No,/prototype.php,484.2867695906108,Debit Card,Pending,8
2023,USA,Brent Martin,randybender@example.net,(579)835-9619x9130,Software Assistance,"(10,)",No,/event.php,324.7661496764351,Bank Transfer,Resolved,4
2023,Zimbabwe,Anne Taylor,bartlettaustin@example.net,2567504239,Inquiring about Events,"(15,)",No,/index.html,419.6424592030717,Credit Card,Pending,6
2024,India,Stacy Taylor,nsanders@example.org,+911816602256,AI-Powered Virtual Assistant,"(50,)",No,/images/events.jpg,136.49954141635777,Bank Transfer,Resolved,5
2023,India,Joshua Williams,pateljoel@example.com,+913335718650,AI-Powered Virtual Assistant,"(3,)",Yes,/index.html,491.09345257546175,PayPal,Failed,5
2025,Brazil,Alan Stokes,nicolegreen@example.org,+55 81 8156-2841,Chatting with Sales Representative,"(7,)",Yes,/images/events.jpg,350.2928420378505,Credit Card,Failed,6
2025,UK,Anna Reyes,gomezregina@example.org,(642)904-8471,Software Assistance,"(56,)",Yes,/prototype.php,200.0468639977488,Credit Card,Pending,6
2025,Australia,Matthew Davis,hessashley@example.org,(07)39694619,Scheduled Demo,"(57,)",Yes,/scheduledemo.php,493.16222886718066,Credit Card,Failed,4
2023,India,Matthew Freeman,beckyjordan@example.net,+918777003046,AI-Powered Virtual Assistant,"(57,)",No,/prototype.php,249.47273848554042,PayPal,Resolved,7
2024,Jamaica,Erin Marks,esutton@example.net,(401)793-2750x9919,Chatting with Sales Representative,"(37,)",Yes,/index.html,444.26008186213465,Credit Card,Failed,7
2023,China,Dr. Brian Dominguez Jr.,lthompson@example.com,18775105477,Prototyping solutions,"(1,)",No,/images/events.jpg,235.53247621476365,Debit Card,Pending,4
2024,China,Jennifer Johnson,veronicaberry@example.org,18960450313,Inquiring about Events,"(45,)",No,/event.php,157.53207058883305,Bank Transfer,Pending,7
2024,Germany,David Taylor,zacharycampos@example.org,+49(0)5712 95446,AI-Powered Virtual Assistant,"(31,)",No,/scheduledemo.php,102.55345057594032,PayPal,Failed,6
2025,China,Sara Lowe,logan66@example.net,13719176491,AI-Powered Virtual Assistant,"(16,)",Yes,/scheduledemo.php,330.4774912872999,Bank Transfer,Resolved,7
2025,Jamaica,Ashley Wheeler,jennifer92@example.com,549-676-8646,Software Assistance,"(19,)",No,/images/events.jpg,310.7595789120553,Bank Transfer,Failed,7
2025,Netherlands,Ryan Burgess,johnsonshawn@example.org,442-413-1022x581,Software Assistance,"(2,)",No,/event.php,471.1660046482571,PayPal,Failed,4
2023,Zambia,Abigail Newman,vmiller@example.org,788.461.4184,Scheduled Demo,"(18,)",Yes,/scheduledemo.php,477.60520057841853,Debit Card,Resolved,4
2024,Portugal,Crystal Daugherty,brownmegan@example.net,+1-633-244-9427x441,Inquiring about Events,"(47,)",Yes,/scheduledemo.php,419.3103176872106,Debit Card,Pending,8
2022,UK,Crystal Jones,rebecca64@example.com,001-767-384-7463x24173,Chatting with Sales Representative,"(53,)",Yes,/event.php,208.82709028539162,Bank Transfer,Pending,4
2024,Canada,Darren Johnson,phyllis81@example.net,477-959-1077,Software Assistance,"(1,)",Yes,/event.php,126.69853857423305,PayPal,Failed,4
2024,Brazil,Shannon Martin,sanchezkayla@example.org,(071) 1312 8864,Inquiring about Events,"(30,)",No,/index.html,457.1637258848891,PayPal,Failed,6
2024,Germany,Danielle Barnes,brianpittman@example.org,04851 101067,Inquiring about Events,"(7,)",Yes,/scheduledemo.php,420.1174099357292,Bank Transfer,Failed,6
2024,France,Heather Wade,andrewjones@example.org,03 25 08 88 04,AI-Powered Virtual Assistant,"(33,)",No,/images/events.jpg,419.3181390946948,PayPal,Pending,5
2025,Spain,Allen Weaver,chloe71@example.com,760.365.3537x4237,Prototyping solutions,"(22,)",Yes,/images/events.jpg,119.8210431206391,Debit Card,Resolved,4
2023,Russia,Amanda Pena,martinvalerie@example.org,85309772330,Inquiring about Events,"(19,)",Yes,/index.html,391.8621394780911,Credit Card,Pending,6
2025,Zambia,Laura Gonzalez,daniel02@example.org,698-644-8113x88466,AI-Powered Virtual Assistant,"(51,)",Yes,/prototype.php,288.53059325268697,PayPal,Failed,7
2024,Jamaica,Samantha Johnson,aaron12@example.org,268.532.1231x41498,Scheduled Demo,"(54,)",No,/prototype.php,181.66349655891008,Credit Card,Pending,6
2022,UK,Jeffrey Poole,michael65@example.com,001-954-683-6286x64694,Prototyping solutions,"(47,)",No,/images/events.jpg,489.4690831874521,Credit Card,Failed,8
2022,UK,Jackie Fisher,tylergreene@example.net,618-781-3033x5474,Prototyping solutions,"(54,)",No,/images/events.jpg,265.12920499564416,Credit Card,Failed,8
2023,Netherlands,Dustin Hutchinson,owensjennifer@example.com,9392941045,AI-Powered Virtual Assistant,"(38,)",No,/index.html,218.90093727828423,Credit Card,Resolved,7
2025,UK,Brandi Scott,harperkatherine@example.com,697.675.5152x344,Software Assistance,"(12,)",No,/scheduledemo.php,123.75189685664765,Bank Transfer,Pending,7
2023,China,Brett Forbes,nunderwood@example.net,13965845260,AI-Powered Virtual Assistant,"(30,)",Yes,/event.php,286.29712053904404,Debit Card,Resolved,4
2025,Canada,Stacy Wilson,jenniferbrown@example.com,(469) 731-7662,Scheduled Demo,"(13,)",Yes,/prototype.php,137.3510778331248,Debit Card,Pending,6
2024,Jamaica,Jason Blankenship,zlindsey@example.net,395-374-7639,Inquiring about Events,"(50,)",Yes,/scheduledemo.php,419.34189135566373,PayPal,Failed,7
