Year,Country,Customer Name,Email,Phone Number,Job Requested,Event Participation,Page Accessed,Sales Revenue,Payment Method,Resolution Status,Satisfaction Rating
2022,Canada,Dawn Gomez,tswanson@example.net,334.741.0145,Software Assistance,No,/images/events.jpg,2430.99,PayPal,Pending,4
2025,Zimbabwe,Daniel Thomas,joshuasmith@example.net,+1-747-654-2173x2587,Software Assistance,No,/images/events.jpg,0.0,Debit Card,Failed,5
2025,Canada,Abigail Johnson PhD,annedavid@example.com,(766) 154-3994 x176,Software Assistance,Yes,/images/events.jpg,0.0,PayPal,Failed,1
2024,Canada,Jon Scott,lisa67@example.org,+1 (414) 323-0609,Prototyping solutions,No,/prototype.php,0.0,PayPal,Failed,5
2023,Canada,Tyler Bailey,uwright@example.net,185 720 0434,Scheduled Demo,Yes,/index.html,5375.68,Bank Transfer,Resolved,2
2023,Portugal,Ann Foster,kristina84@example.com,250.397.7849x63118,Scheduled Demo,Yes,/scheduledemo.php,7875.6,PayPal,Resolved,2
2022,Portugal,Jennifer Johnston,murrayzachary@example.com,001-611-370-0219x84687,Software Assistance,No,/event.php,0.0,PayPal,Failed,1
2022,Russia,Linda Lucero,sarahsimon@example.net,+7 991 231 3855,AI-Powered Virtual Assistant,Yes,/prototype.php,6034.93,Debit Card,Resolved,1
2024,Canada,Jacob Liu,jonathanjohnson@example.net,409 116 9708,Chatting with Sales Representative,No,/images/events.jpg,7188.99,Credit Card,Resolved,1
2022,Russia,Jason Lin,ericcampbell@example.org,84710369274,Chatting with Sales Representative,No,/index.html,0.0,Bank Transfer,Failed,1
2023,Zambia,Joseph Harris,elizabethrobbins@example.org,(749)547-8140,Scheduled Demo,Yes,/images/events.jpg,1151.41,Credit Card,Pending,5
2025,Spain,Jill Love,amywalker@example.org,714-975-9297x3261,Chatting with Sales Representative,Yes,/scheduledemo.php,3695.48,Bank Transfer,Resolved,3
2022,Zambia,Michelle Hale,katherinemclean@example.net,(891)419-1376,Scheduled Demo,Yes,/index.html,0.0,Credit Card,Failed,3
2022,India,Clinton Nguyen,juliesmith@example.net,06330510061,Scheduled Demo,No,/images/events.jpg,960.13,Bank Transfer,Pending,4
2024,Jamaica,Terry Chandler,keithhughes@example.org,719-231-9466x66416,AI-Powered Virtual Assistant,No,/scheduledemo.php,2556.59,Credit Card,Resolved,3
2022,France,Brian Rowe,haysjoseph@example.net,0638598512,Inquiring about events,Yes,/prototype.php,3006.6,Credit Card,Pending,2
2023,France,Riley Rowe,udavis@example.net,05 47 56 52 51,Prototyping solutions,Yes,/prototype.php,1279.01,Credit Card,Pending,2
2024,China,Todd Vargas,vpotts@example.org,13087906728,Scheduled Demo,No,/images/events.jpg,0.0,Credit Card,Failed,4
2022,Russia,Bradley Hodge,lawrencetasha@example.com,+7 603 184 6423,Software Assistance,Yes,/event.php,0.0,PayPal,Failed,5
2022,Japan,Jeffrey Cooper,mho@example.org,080-4578-9903,Scheduled Demo,Yes,/event.php,0.0,Debit Card,Failed,3
2022,Jamaica,Eddie Nguyen,swright@example.com,(673)810-4773x682,Chatting with Sales Representative,Yes,/event.php,0.0,PayPal,Failed,5
