Year,Country,Customer Name,Email,Phone Number,Job Requested,Event Participation,Page Accessed,Sales Revenue,Payment Method,Resolution Status,Satisfaction Rating
2022,Canada,Dawn Gomez,tswanson@example.net,334.741.0145,Prototyping solutions,No,/images/events.jpg,154.71810205307497,PayPal,Pending,8
2025,Zimbabwe,Daniel Thomas,joshuasmith@example.net,+1-747-654-2173x2587,AI-Powered Virtual Assistant,No,/images/events.jpg,450.5077909636278,Debit Card,Pending,9
2025,Canada,Abigail Johnson PhD,annedavid@example.com,(766) 154-3994 x176,Chatting with Sales Representative,No,/images/events.jpg,152.04029793251252,PayPal,Failed,5
2024,Canada,Jon Scott,lisa67@example.org,+1 (414) 323-0609,Inquiring about Events,No,/prototype.php,485.39827377460045,PayPal,Failed,9
2023,Canada,Tyler Bailey,uwright@example.net,185 720 0434,AI-Powered Virtual Assistant,No,/index.html,208.08182533755314,Bank Transfer,Failed,6
2023,Portugal,Ann Foster,kristina84@example.com,250.397.7849x63118,AI-Powered Virtual Assistant,No,/scheduledemo.php,463.89693378612037,PayPal,Resolved,6
2022,Portugal,Jennifer Johnston,murrayzachary@example.com,001-611-370-0219x84687,Scheduled Demo,Yes,/event.php,416.32624479956394,PayPal,Pending,5
2022,Russia,Linda Lucero,sarahsimon@example.net,+7 991 231 3855,Scheduled Demo,No,/prototype.php,184.836508223563,Debit Card,Resolved,5
2024,Canada,Jacob Liu,jonathanjohnson@example.net,409 116 9708,Chatting with Sales Representative,Yes,/images/events.jpg,252.82061639231694,Credit Card,Failed,5
2022,Russia,Jason Lin,ericcampbell@example.org,84710369274,Chatting with Sales Representative,Yes,/index.html,339.06351160290205,Bank Transfer,Resolved,5
2023,Zambia,Joseph Harris,elizabethrobbins@example.org,(749)547-8140,AI-Powered Virtual Assistant,No,/images/events.jpg,218.58137539963752,Credit Card,Pending,9
2025,Spain,Jill Love,amywalker@example.org,714-975-9297x3261,Scheduled Demo,Yes,/scheduledemo.php,477.2125422102389,Bank Transfer,Pending,7
2022,Zambia,Michelle Hale,katherinemclean@example.net,(891)419-1376,Prototyping solutions,No,/index.html,408.18145432862167,Credit Card,Pending,7
2022,India,Clinton Nguyen,juliesmith@example.net,06330510061,AI-Powered Virtual Assistant,No,/images/events.jpg,195.25788886960052,Bank Transfer,Pending,8
