Year,Country,Customer Name,Email,Phone Number,Job Requested,Event Participation,Page Accessed,Sales Revenue,Payment Method,Resolution Status,Satisfaction Rating
2022,Canada,Dawn Gomez,tswanson@example.net,334.741.0145,Chatting with Sales Representative,No,/images/events.jpg,306.52271806122354,PayPal,Pending,5
2025,Zimbabwe,Daniel Thomas,joshuasmith@example.net,+1-747-654-2173x2587,Scheduled Demo,No,/images/events.jpg,461.51922286250954,Debit Card,Resolved,6
2025,Canada,Abigail Johnson PhD,annedavid@example.com,(766) 154-3994 x176,Scheduled Demo,Yes,/images/events.jpg,337.44007725096975,PayPal,Failed,2
2024,Canada,Jon Scott,lisa67@example.org,+1 (414) 323-0609,AI-Powered Virtual Assistant,No,/prototype.php,262.17234110910886,PayPal,Failed,6
2023,Canada,Tyler Bailey,uwright@example.net,185 720 0434,Prototyping solutions,No,/index.html,178.32084928895188,Bank Transfer,Failed,3
2023,Portugal,Ann Foster,kristina84@example.com,250.397.7849x63118,Inquiring about Events,No,/scheduledemo.php,137.34834150072334,PayPal,Failed,3
2022,Portugal,Jennifer Johnston,murrayzachary@example.com,001-611-370-0219x84687,AI-Powered Virtual Assistant,Yes,/event.php,186.57737536630037,PayPal,Failed,2
2022,Russia,Linda Lucero,sarahsimon@example.net,+7 991 231 3855,AI-Powered Virtual Assistant,Yes,/prototype.php,110.38124818101144,Debit Card,Failed,2
2024,Canada,Jacob Liu,jonathanjohnson@example.net,409 116 9708,Software Assistance,Yes,/images/events.jpg,417.95843473654986,Credit Card,Resolved,2
2022,Russia,Jason Lin,ericcampbell@example.org,84710369274,Inquiring about Events,Yes,/index.html,226.48945576433476,Bank Transfer,Failed,2
2023,Zambia,Joseph Harris,elizabethrobbins@example.org,(749)547-8140,Prototyping solutions,No,/images/events.jpg,227.6309257099992,Credit Card,Resolved,6
2025,Spain,Jill Love,amywalker@example.org,714-975-9297x3261,AI-Powered Virtual Assistant,Yes,/scheduledemo.php,381.8257909548605,Bank Transfer,Resolved,4
2022,Zambia,Michelle Hale,katherinemclean@example.net,(891)419-1376,Prototyping solutions,No,/index.html,133.772746316304,Credit Card,Failed,4
2022,India,Clinton Nguyen,juliesmith@example.net,06330510061,Scheduled Demo,No,/images/events.jpg,261.8167080683459,Bank Transfer,Failed,5
2024,Jamaica,Terry Chandler,keithhughes@example.org,719-231-9466x66416,AI-Powered Virtual Assistant,No,/scheduledemo.php,368.70866645715756,Credit Card,Resolved,4
2022,France,Brian Rowe,haysjoseph@example.net,0638598512,Chatting with Sales Representative,No,/prototype.php,395.1809781116282,Credit Card,Failed,3
2023,France,Riley Rowe,udavis@example.net,05 47 56 52 51,Inquiring about Events,Yes,/prototype.php,461.4287035824254,Credit Card,Pending,3
2024,China,Todd Vargas,vpotts@example.org,13087906728,AI-Powered Virtual Assistant,No,/images/events.jpg,444.109636384192,Credit Card,Pending,5
2022,Russia,Bradley Hodge,lawrencetasha@example.com,+7 603 184 6423,Inquiring about Events,Yes,/event.php,401.76608784750675,PayPal,Failed,6
2022,Japan,Jeffrey Cooper,mho@example.org,080-4578-9903,Inquiring about Events,Yes,/event.php,489.9459739120144,Debit Card,Failed,4
2022,Jamaica,Eddie Nguyen,swright@example.com,(673)810-4773x682,Prototyping solutions,No,/event.php,252.51405201045395,PayPal,Resolved,6
2025,UK,Katherine Fisher,dakotachavez@example.com,+44(0)131 4960014,Scheduled Demo,Yes,/scheduledemo.php,475.8110026728838,PayPal,Resolved,5
2025,Zimbabwe,Johnny Miller,jeffery45@example.com,(468)772-2725x8542,Inquiring about Events,No,/scheduledemo.php,230.41797463445118,PayPal,Resolved,6
2023,Netherlands,Monica Nguyen,carolyn28@example.com,+1-890-921-0955x217,Inquiring about Events,Yes,/scheduledemo.php,326.3621211819271,Bank Transfer,Resolved,3
2025,Portugal,Kimberly Smith,ydelgado@example.org,(604)846-8568x42799,Inquiring about Events,No,/scheduledemo.php,423.96050417092954,Bank Transfer,Resolved,5
2023,Brazil,Tabitha Hall,carlsonangel@example.net,81 8423-9195,Chatting with Sales Representative,Yes,/index.html,182.58361405926618,PayPal,Pending,3
2025,Portugal,James Murray,dominiquedalton@example.com,886-631-8680,Inquiring about Events,Yes,/images/events.jpg,213.6866972750101,Debit Card,Resolved,2
