Year,Country,Customer Name,Email,Phone Number,Job Requested,Event Participation,Page Accessed,Sales Revenue,Payment Method,Resolution Status,Satisfaction Rating
2025.0,Spain,Alexandria Heath MD,alam@example.net,(413)951-7693,Inquiring about Events,No,/images/events.jpg,412.08057170216904,Debit Card,Resolved,2
2025.0,India,Joshua Davis,timothywebster@example.net,+913211438085,AI-Powered Virtual Assistant,Yes,/scheduledemo.php,239.2450554500661,Debit Card,Pending,5
2025.0,China,Emily Mcdonald,paul90@example.org,13813943259,AI-Powered Virtual Assistant,No,/prototype.php,282.44208025999546,Debit Card,Pending,4
2024.0,Canada,Matthew Hawkins,orobinson@example.com,(964) 405-7988,AI-Powered Virtual Assistant,Yes,/scheduledemo.php,303.7671027077405,Credit Card,Failed,2
2024.0,France,Tracey Williams,curtisjames@example.org,+33 (0)1 70 99 62 48,Software Assistance,Yes,/scheduledemo.php,203.83536674788675,Debit Card,Resolved,6
2025.0,USA,Kayla Shannon,dfitzpatrick@example.com,4142647936,Chatting with Sales Representative,No,/scheduledemo.php,436.5642750444972,PayPal,Failed,4
2022.0,France,Daniel Gonzalez,richard60@example.org,01 79 49 77 86,Scheduled Demo,No,/index.html,479.85372715752914,PayPal,Failed,6
2024.0,Russia,Brian Fuller,donaldjones@example.com,8 801 280 62 98,Prototyping solutions,Yes,/event.php,264.3443362147051,Bank Transfer,Resolved,6
2023.0,Japan,Sandra Fitzpatrick,david97@example.com,090-0760-2092,Chatting with Sales Representative,No,/index.html,199.70818451217505,PayPal,Failed,2
2025.0,Spain,Jessica Hawkins,harnold@example.net,999.507.0544,Prototyping solutions,No,/prototype.php,299.04184177582476,Debit Card,Resolved,5
2023.0,China,Joseph Holmes,thompsoncory@example.net,13329003710,Inquiring about Events,Yes,/images/events.jpg,366.1787708340434,Debit Card,Pending,4
2023.0,UK,Kimberly Morrison,justin22@example.com,305-495-8305x770,Prototyping solutions,Yes,/prototype.php,142.7330375105365,Credit Card,Resolved,5
2022.0,Canada,Eric Maldonado,zbarry@example.net,(617) 139-7783 x414,Inquiring about Events,Yes,/index.html,322.39687978084214,Credit Card,Resolved,2
2025.0,Zambia,Cindy Thompson,michael36@example.org,278.480.3104x10370,Scheduled Demo,No,/scheduledemo.php,217.91400924626447,Bank Transfer,Failed,6
2023.0,Canada,Ryan Harris,jwood@example.com,(805) 010-0208 x400,Software Assistance,No,/prototype.php,298.37806890338777,Bank Transfer,Resolved,5
2022.0,Spain,Matthew Brown,woodardronald@example.com,508-659-8151,Scheduled Demo,No,/images/events.jpg,257.0093932604681,Credit Card,Failed,6
2024.0,Zambia,Dana Lowe,debbierios@example.org,386-269-2916x1226,Chatting with Sales Representative,No,/images/events.jpg,335.64031517496437,Credit Card,Pending,4
2025.0,Jamaica,Sharon Lane,james16@example.com,566.623.6627,Inquiring about Events,Yes,/images/events.jpg,398.326199197384,PayPal,Failed,2
2025.0,India,Anthony Poole,brogers@example.net,8559688444,Software Assistance,Yes,/prototype.php,105.26753844359034,PayPal,Resolved,4
2022.0,Jamaica,Matthew Hoffman,barnettjohn@example.net,591.848.2155x071,Chatting with Sales Representative,Yes,/prototype.php,245.02970415050868,Credit Card,Failed,3
