Year,Country,Customer Name,Email,Phone Number,Job Requested,Response Time,Event Participation,Page Accessed,Sales Revenue,Payment Method,Resolution Status,Satisfaction Rating
2023,Spain,Ronald Jackson,wsullivan@example.net,001-918-397-8314x975,Prototyping solutions,"(10,)",No,/index.html,409.87462460492344,PayPal,Failed,2
2022,Brazil,Michael Pruitt,dianeray@example.net,51 1543 2885,Inquiring about Events,"(13,)",Yes,/index.html,291.1601148978699,Credit Card,Pending,6
2022,Australia,Randall Cross,erintaylor@example.com,1414-7743,AI-Powered Virtual Assistant,"(51,)",No,/event.php,450.3936609461784,PayPal,Resolved,4
2024,Germany,Chase Brennan,curtisclements@example.com,0569444878,Inquiring about Events,"(54,)",No,/prototype.php,114.12027764724395,Credit Card,Resolved,5
2025,Australia,Jonathan Thomas,cartergregory@example.org,(08)-0296-2383,AI-Powered Virtual Assistant,"(2,)",No,/event.php,348.89078930694313,Debit Card,Resolved,6
2024,Russia,James King,mathisbrian@example.com,8 877 420 7975,Prototyping solutions,"(59,)",Yes,/scheduledemo.php,444.5432781869158,Debit Card,Resolved,3
2023,USA,Amber Bautista,jodyryan@example.org,8243134309,Scheduled Demo,"(5,)",Yes,/index.html,165.87605886637826,Credit Card,Failed,5
2025,India,Matthew Sullivan,reyesmelissa@example.org,05295475238,Inquiring about Events,"(48,)",No,/images/events.jpg,234.70781356673785,Credit Card,Pending,4
2025,Zambia,Kristen Gregory,anthony12@example.org,+1-379-701-8172x29050,AI-Powered Virtual Assistant,"(20,)",No,/prototype.php,469.8373793060953,Bank Transfer,Pending,4
2023,Netherlands,Joseph Turner,andrew24@example.net,213.617.6637x0429,AI-Powered Virtual Assistant,"(59,)",Yes,/event.php,468.71128224896984,Debit Card,Resolved,3
2022,UK,Kimberly Davis,andreamendoza@example.org,743.388.7587x0758,Chatting with Sales Representative,"(21,)",Yes,/scheduledemo.php,336.46982789321214,Credit Card,Failed,2
2025,UK,Chloe Murillo,justin73@example.com,657.529.0897x7089,Chatting with Sales Representative,"(5,)",No,/index.html,126.86801806918733,Credit Card,Failed,5
2025,Canada,Casey Rivera,emilyolson@example.org,120-034-3511,Prototyping solutions,"(42,)",No,/images/events.jpg,111.88870701914438,Credit Card,Failed,6
2024,Zimbabwe,Yesenia Bates,watsonmason@example.net,4124118387,Scheduled Demo,"(28,)",Yes,/images/events.jpg,285.33032606057225,PayPal,Failed,6
2024,India,Tara Pierce,uhoffman@example.org,2884394647,Inquiring about Events,"(5,)",No,/scheduledemo.php,433.5138739036463,Bank Transfer,Pending,5
2024,Canada,Christina Gill,bbailey@example.com,+1 (661) 916-7574,Software Assistance,"(14,)",Yes,/index.html,322.8176609455538,Bank Transfer,Failed,5
2025,Zambia,Wendy Warren,amy39@example.com,584.665.1236x8669,Software Assistance,"(25,)",Yes,/index.html,320.49654434249044,Debit Card,Resolved,5
2024,India,Michael Atkinson,jonathanjones@example.org,+913894139900,Inquiring about Events,"(60,)",No,/event.php,381.95353299104846,Bank Transfer,Resolved,6
2022,Canada,Dr. Brian Cox,osmith@example.net,1-892-641-2053,Software Assistance,"(8,)",Yes,/scheduledemo.php,106.5642320969887,Debit Card,Resolved,6
2023,Spain,Gabriel Johnson,richardsoncharles@example.com,+1-893-329-4630x3057,Scheduled Demo,"(53,)",No,/scheduledemo.php,344.4094508436907,Credit Card,Resolved,3
2023,Japan,Kenneth Grimes,yprice@example.com,070-4988-1147,Software Assistance,"(11,)",No,/scheduledemo.php,103.29310636255893,Credit Card,Pending,6
2024,Germany,Eugene Wong,qjohnson@example.com,+49(0)8563 66409,Chatting with Sales Representative,"(33,)",No,/index.html,302.2306381599198,Debit Card,Resolved,4
2025,UK,Morgan Gonzalez,srios@example.net,(664)223-7087x34990,Chatting with Sales Representative,"(30,)",Yes,/scheduledemo.php,165.02307651512967,Bank Transfer,Pending,5
2025,Canada,Nicole Brewer,samanthapowell@example.net,459-488-3359 x580,AI-Powered Virtual Assistant,"(53,)",Yes,/scheduledemo.php,225.7770484184955,Bank Transfer,Pending,2
2022,Japan,Phillip Carrillo,erobbins@example.com,080-8139-3532,Prototyping solutions,"(44,)",Yes,/index.html,262.38999217811494,Debit Card,Failed,3
2024,Netherlands,Brian Fisher,millersusan@example.net,(625)679-0848,Software Assistance,"(26,)",No,/images/events.jpg,168.7802231106873,Debit Card,Pending,5
2024,Zambia,Alan Baker,vegajose@example.org,4283657389,Inquiring about Events,"(57,)",No,/index.html,222.42406188990142,Credit Card,Pending,5
2025,USA,Christine Stevenson,rachelcannon@example.com,001-431-730-1551x38184,Prototyping solutions,"(13,)",No,/event.php,255.8851499869816,PayPal,Failed,3
2023,Australia,Nicholas Melendez,donnaweiss@example.org,+61240021407,Inquiring about Events,"(25,)",Yes,/prototype.php,204.9157634792818,Debit Card,Failed,4
2023,Germany,Jennifer Garcia,amandakennedy@example.org,01097 94064,Scheduled Demo,"(8,)",No,/images/events.jpg,119.1325349608201,Bank Transfer,Failed,6
2023,UK,Carrie Dunn,katkins@example.org,247.577.0387x4649,Software Assistance,"(13,)",Yes,/event.php,374.7004089355136,Bank Transfer,Pending,2
2022,Jamaica,Connie Orr,angel10@example.com,520-286-7054,Software Assistance,"(4,)",No,/prototype.php,435.525297008004,PayPal,Pending,3
2022,Russia,William Reese,shari15@example.net,+7 (073) 845-84-32,AI-Powered Virtual Assistant,"(6,)",No,/images/events.jpg,226.5392088384565,PayPal,Pending,5
2025,Australia,Robert Price MD,lbennett@example.com,0438.412.016,Software Assistance,"(32,)",No,/event.php,377.7492310517571,Bank Transfer,Pending,2
2022,Germany,Patricia Robinson,katieyates@example.com,0341110371,Chatting with Sales Representative,"(37,)",No,/prototype.php,299.2105285385307,Debit Card,Failed,2
2023,Zambia,Sandra Nicholson,denise60@example.com,001-465-621-3334x97307,Scheduled Demo,"(43,)",Yes,/scheduledemo.php,121.41828511959459,PayPal,Failed,5
