Year,Country,Customer Name,Email,Phone Number,Job Requested,Response Time,Event Participation,Page Accessed,Sales Revenue,Payment Method,Resolution Status,Satisfaction Rating
2023,Spain,Ronald Jackson,wsullivan@example.net,001-918-397-8314x975,AI-Powered Virtual Assistant,"(10,)",Yes,/index.html,272.6468209612276,PayPal,Pending,3
2022,Brazil,Michael Pruitt,dianeray@example.net,51 1543 2885,Inquiring about Events,"(13,)",Yes,/index.html,422.2846620842819,Credit Card,Resolved,7
2022,Australia,Randall Cross,erintaylor@example.com,1414-7743,Chatting with Sales Representative,"(51,)",Yes,/event.php,385.27876142329006,PayPal,Failed,5
2024,Germany,Chase Brennan,curtisclements@example.com,0569444878,Inquiring about Events,"(54,)",No,/prototype.php,406.63090723176913,Credit Card,Pending,6
2025,Australia,Jonathan Thomas,cartergregory@example.org,(08)-0296-2383,AI-Powered Virtual Assistant,"(2,)",Yes,/event.php,340.6634665725842,Debit Card,Failed,7
2024,Russia,James King,mathisbrian@example.com,8 877 420 7975,AI-Powered Virtual Assistant,"(59,)",No,/scheduledemo.php,344.4556170890582,Debit Card,Failed,4
2023,USA,Amber Bautista,jodyryan@example.org,8243134309,Chatting with Sales Representative,"(5,)",Yes,/index.html,103.49946975700944,Credit Card,Pending,6
2025,India,Matthew Sullivan,reyesmelissa@example.org,05295475238,AI-Powered Virtual Assistant,"(48,)",No,/images/events.jpg,365.51742503062354,Credit Card,Resolved,5
2025,Zambia,Kristen Gregory,anthony12@example.org,+1-379-701-8172x29050,Prototyping solutions,"(20,)",Yes,/prototype.php,356.4481310500771,Bank Transfer,Resolved,5
2023,Netherlands,Joseph Turner,andrew24@example.net,213.617.6637x0429,Scheduled Demo,"(59,)",Yes,/event.php,240.18021315451455,Debit Card,Pending,4
2022,UK,Kimberly Davis,andreamendoza@example.org,743.388.7587x0758,Prototyping solutions,"(21,)",No,/scheduledemo.php,148.2998915680363,Credit Card,Resolved,3
2025,UK,Chloe Murillo,justin73@example.com,657.529.0897x7089,Scheduled Demo,"(5,)",Yes,/index.html,487.42116711320824,Credit Card,Pending,6
2025,Canada,Casey Rivera,emilyolson@example.org,120-034-3511,Software Assistance,"(42,)",No,/images/events.jpg,257.2833089895803,Credit Card,Failed,7
2024,Zimbabwe,Yesenia Bates,watsonmason@example.net,4124118387,AI-Powered Virtual Assistant,"(28,)",No,/images/events.jpg,425.1856741736527,PayPal,Pending,7
2024,India,Tara Pierce,uhoffman@example.org,2884394647,Prototyping solutions,"(5,)",No,/scheduledemo.php,322.37239882298843,Bank Transfer,Pending,6
2024,Canada,Christina Gill,bbailey@example.com,+1 (661) 916-7574,Chatting with Sales Representative,"(14,)",Yes,/index.html,211.32960088809102,Bank Transfer,Resolved,6
2025,Zambia,Wendy Warren,amy39@example.com,584.665.1236x8669,Inquiring about Events,"(25,)",No,/index.html,323.63117565266214,Debit Card,Pending,6
2024,India,Michael Atkinson,jonathanjones@example.org,+913894139900,Software Assistance,"(60,)",Yes,/event.php,299.91821149966876,Bank Transfer,Failed,7
2022,Canada,Dr. Brian Cox,osmith@example.net,1-892-641-2053,Inquiring about Events,"(8,)",No,/scheduledemo.php,207.2631629761983,Debit Card,Pending,7
2023,Spain,Gabriel Johnson,richardsoncharles@example.com,+1-893-329-4630x3057,Chatting with Sales Representative,"(53,)",No,/scheduledemo.php,261.18346581223744,Credit Card,Failed,4
2023,Japan,Kenneth Grimes,yprice@example.com,070-4988-1147,Chatting with Sales Representative,"(11,)",Yes,/scheduledemo.php,119.10987763137356,Credit Card,Failed,7
2024,Germany,Eugene Wong,qjohnson@example.com,+49(0)8563 66409,Scheduled Demo,"(33,)",Yes,/index.html,340.7926284390374,Debit Card,Failed,5
2025,UK,Morgan Gonzalez,srios@example.net,(664)223-7087x34990,Chatting with Sales Representative,"(30,)",Yes,/scheduledemo.php,208.0539308633218,Bank Transfer,Resolved,6
2025,Canada,Nicole Brewer,samanthapowell@example.net,459-488-3359 x580,Prototyping solutions,"(53,)",Yes,/scheduledemo.php,344.34050023107284,Bank Transfer,Failed,3
2022,Japan,Phillip Carrillo,erobbins@example.com,080-8139-3532,Inquiring about Events,"(44,)",No,/index.html,276.74252606428416,Debit Card,Pending,4
2024,Netherlands,Brian Fisher,millersusan@example.net,(625)679-0848,Software Assistance,"(26,)",No,/images/events.jpg,266.32832281754975,Debit Card,Failed,6
2024,Zambia,Alan Baker,vegajose@example.org,4283657389,Inquiring about Events,"(57,)",No,/index.html,377.2530540604569,Credit Card,Pending,6
2025,USA,Christine Stevenson,rachelcannon@example.com,001-431-730-1551x38184,Prototyping solutions,"(13,)",No,/event.php,291.41224134524964,PayPal,Failed,4
2023,Australia,Nicholas Melendez,donnaweiss@example.org,+61240021407,Inquiring about Events,"(25,)",No,/prototype.php,263.8699799861554,Debit Card,Resolved,5
2023,Germany,Jennifer Garcia,amandakennedy@example.org,01097 94064,Inquiring about Events,"(8,)",No,/images/events.jpg,155.05464613475218,Bank Transfer,Failed,7
2023,UK,Carrie Dunn,katkins@example.org,247.577.0387x4649,Inquiring about Events,"(13,)",No,/event.php,195.60470963067198,Bank Transfer,Failed,3
