Year,Country,Customer Name,Email,Phone Number,Job Requested,Event Participation,Page Accessed,Sales Revenue,Payment Method,Resolution Status,Satisfaction Rating
2022,Canada,Dawn Gomez,tswanson@example.net,334.741.0145,Scheduled Demo,No,/images/events.jpg,211.41256299023436,PayPal,Failed,6
2025,Zimbabwe,Daniel Thomas,joshuasmith@example.net,+1-747-654-2173x2587,AI-Powered Virtual Assistant,Yes,/images/events.jpg,189.30415173460136,Debit Card,Pending,7
2025,Canada,Abigail Johnson PhD,annedavid@example.com,(766) 154-3994 x176,Scheduled Demo,No,/images/events.jpg,202.08310798467792,PayPal,Pending,3
2024,Canada,Jon Scott,lisa67@example.org,+1 (414) 323-0609,Inquiring about Events,Yes,/prototype.php,283.4457026257975,PayPal,Resolved,7
2023,Canada,Tyler Bailey,uwright@example.net,185 720 0434,Software Assistance,No,/index.html,150.4158880901628,Bank Transfer,Pending,4
2023,Portugal,Ann Foster,kristina84@example.com,250.397.7849x63118,Software Assistance,No,/scheduledemo.php,410.8831336556562,PayPal,Pending,4
2022,Portugal,Jennifer Johnston,murrayzachary@example.com,001-611-370-0219x84687,Prototyping solutions,Yes,/event.php,464.9426303517989,PayPal,Resolved,3
2022,Russia,Linda Lucero,sarahsimon@example.net,+7 991 231 3855,Inquiring about Events,No,/prototype.php,276.3491313377201,Debit Card,Resolved,3
2024,Canada,Jacob Liu,jonathanjohnson@example.net,409 116 9708,Scheduled Demo,Yes,/images/events.jpg,192.21033042718108,Credit Card,Failed,3
2022,Russia,Jason Lin,ericcampbell@example.org,84710369274,AI-Powered Virtual Assistant,Yes,/index.html,449.02305150470687,Bank Transfer,Failed,3
2023,Zambia,Joseph Harris,elizabethrobbins@example.org,(749)547-8140,Prototyping solutions,No,/images/events.jpg,465.57850768123717,Credit Card,Pending,7
2025,Spain,Jill Love,amywalker@example.org,714-975-9297x3261,Software Assistance,No,/scheduledemo.php,201.27159998559546,Bank Transfer,Resolved,5
2022,Zambia,Michelle Hale,katherinemclean@example.net,(891)419-1376,Inquiring about Events,Yes,/index.html,181.3499951409982,Credit Card,Failed,5
2022,India,Clinton Nguyen,juliesmith@example.net,06330510061,Inquiring about Events,No,/images/events.jpg,298.9861488086821,Bank Transfer,Resolved,6
2024,Jamaica,Terry Chandler,keithhughes@example.org,719-231-9466x66416,Scheduled Demo,No,/scheduledemo.php,470.53095740570456,Credit Card,Resolved,5
2022,France,Brian Rowe,haysjoseph@example.net,0638598512,Chatting with Sales Representative,Yes,/prototype.php,265.8456696746128,Credit Card,Resolved,4
2023,France,Riley Rowe,udavis@example.net,05 47 56 52 51,Prototyping solutions,No,/prototype.php,230.46098702820336,Credit Card,Resolved,4
2024,China,Todd Vargas,vpotts@example.org,13087906728,Software Assistance,No,/images/events.jpg,458.35439482436516,Credit Card,Resolved,6
2022,Russia,Bradley Hodge,lawrencetasha@example.com,+7 603 184 6423,Prototyping solutions,Yes,/event.php,150.9347146218044,PayPal,Pending,7
2022,Japan,Jeffrey Cooper,mho@example.org,080-4578-9903,Software Assistance,No,/event.php,222.91318409321616,Debit Card,Pending,5
2022,Jamaica,Eddie Nguyen,swright@example.com,(673)810-4773x682,AI-Powered Virtual Assistant,Yes,/event.php,245.5903661380678,PayPal,Failed,7
2025,UK,Katherine Fisher,dakotachavez@example.com,+44(0)131 4960014,Software Assistance,Yes,/scheduledemo.php,258.98120408074794,PayPal,Failed,6
2025,Zimbabwe,Johnny Miller,jeffery45@example.com,(468)772-2725x8542,Chatting with Sales Representative,Yes,/scheduledemo.php,134.10701765555672,PayPal,Resolved,7
2023,Netherlands,Monica Nguyen,carolyn28@example.com,+1-890-921-0955x217,Software Assistance,Yes,/scheduledemo.php,157.33851147760026,Bank Transfer,Resolved,4
2025,Portugal,Kimberly Smith,ydelgado@example.org,(604)846-8568x42799,Scheduled Demo,No,/scheduledemo.php,138.55454692219595,Bank Transfer,Failed,6
2023,Brazil,Tabitha Hall,carlsonangel@example.net,81 8423-9195,Chatting with Sales Representative,Yes,/index.html,281.98170963594373,PayPal,Failed,4
2025,Portugal,James Murray,dominiquedalton@example.com,886-631-8680,Scheduled Demo,Yes,/images/events.jpg,130.04791257184576,Debit Card,Pending,3
2025,China,Sierra Hess,samuelsmith@example.net,18013663482,Inquiring about Events,Yes,/prototype.php,438.5828043838065,Debit Card,Pending,3
2023,China,Chris Harrison,yfranklin@example.net,13779914568,Scheduled Demo,Yes,/index.html,317.84932246611424,Bank Transfer,Failed,7
2022,China,Suzanne Suarez,joshua14@example.com,15779697818,Scheduled Demo,No,/images/events.jpg,317.0315408830148,Credit Card,Failed,7
2024,Germany,Vanessa Clark,cmanning@example.org,+49(0) 948950414,Chatting with Sales Representative,No,/scheduledemo.php,122.51355725549891,Debit Card,Failed,5
2025,Australia,Anne Mitchell,dcollins@example.net,0441 892 482,AI-Powered Virtual Assistant,Yes,/images/events.jpg,226.24371886728045,Debit Card,Failed,6
2024,France,Kaitlyn Mendoza,wsellers@example.net,05 35 11 86 57,Prototyping solutions,Yes,/index.html,470.2505296554266,Debit Card,Resolved,6
2023,Zimbabwe,Victor Silva,fhernandez@example.net,206.213.7408x751,Chatting with Sales Representative,No,/event.php,396.1957075804808,Bank Transfer,Resolved,6
2025,China,Adam Brown,lesliegallagher@example.net,13812732301,Scheduled Demo,No,/prototype.php,362.5832775260622,Credit Card,Resolved,5
2023,Brazil,Cody Gonzalez,brooksmatthew@example.net,+55 (051) 0601 6406,Chatting with Sales Representative,No,/images/events.jpg,433.80511488558625,Credit Card,Failed,6
2025,Zimbabwe,Robert Martinez,jessica22@example.org,001-437-860-5656,Chatting with Sales Representative,No,/prototype.php,172.8194244383444,Bank Transfer,Resolved,6
2022,China,Tara Lloyd,melanie97@example.com,18115992400,Chatting with Sales Representative,No,/index.html,135.0296770130103,Debit Card,Pending,4
2024,Spain,Susan Rogers,michelle38@example.org,534-980-2473,Chatting with Sales Representative,Yes,/event.php,129.72036477868585,PayPal,Pending,7
2023,Jamaica,Kristie Wilson,leethomas@example.com,3032097046,Inquiring about Events,Yes,/event.php,245.55351549925953,Bank Transfer,Failed,4
2025,France,Emily Morgan,taylor14@example.net,01 48 94 24 55,Prototyping solutions,Yes,/prototype.php,392.0780378707021,PayPal,Resolved,6
2024,Spain,Ryan Jackson,steven78@example.org,+1-731-555-5553x8061,Chatting with Sales Representative,No,/images/events.jpg,325.2470353633162,Bank Transfer,Resolved,3
2025,Germany,Kristen Thompson,jeremy68@example.net,+49(0)0122 992919,Prototyping solutions,Yes,/index.html,358.99676090732197,Debit Card,Failed,7
2025,Canada,Sean Ingram,sallyreed@example.com,242-291-1606,Inquiring about Events,Yes,/scheduledemo.php,215.63894536488067,Credit Card,Failed,7
2024,Japan,Erica Conley,ileach@example.net,070-0254-9980,Chatting with Sales Representative,Yes,/event.php,115.95152698150497,Credit Card,Pending,6
2022,Russia,Jeffrey Turner,jkent@example.net,+7 352 557 07 24,Scheduled Demo,Yes,/event.php,429.52544798318866,Bank Transfer,Resolved,4
2025,China,Beverly Ashley,amber08@example.org,18271754576,Chatting with Sales Representative,No,/prototype.php,479.7030944471783,Debit Card,Resolved,5
2024,Spain,Sara Stevens,bradleyleah@example.com,980-219-2228x4376,Software Assistance,Yes,/event.php,147.14782747516347,Credit Card,Pending,4
2024,Jamaica,Mark Maldonado,roberthayes@example.org,001-636-568-4958x16116,Scheduled Demo,Yes,/index.html,129.2168556252749,Bank Transfer,Resolved,3
2024,Australia,Catherine Wallace,henry25@example.net,0435.703.811,Chatting with Sales Representative,No,/prototype.php,400.3370439841766,Bank Transfer,Pending,5
2025,China,Ryan Winters,debbiebecker@example.org,13630369982,Software Assistance,No,/index.html,257.33745611833064,Bank Transfer,Pending,3
2023,Portugal,Dominic Jones,dukescott@example.net,+1-899-688-8454x340,AI-Powered Virtual Assistant,No,/event.php,475.99115263682796,Credit Card,Pending,3
2024,Japan,Jacqueline Merritt,rjohnson@example.net,080-0114-4536,AI-Powered Virtual Assistant,No,/event.php,397.93939308057185,Credit Card,Pending,7
2025,Jamaica,Eric Alexander,gibsonmary@example.com,582-267-9706x0101,Scheduled Demo,No,/prototype.php,222.72376438929484,Debit Card,Failed,4
2025,Germany,Danielle Bass,gho@example.org,04111 20963,Software Assistance,Yes,/event.php,165.42828128084955,Credit Card,Pending,6
2022,Australia,Lindsey Kidd,martin15@example.net,(07)-1108-5980,AI-Powered Virtual Assistant,Yes,/index.html,182.56661935614846,Credit Card,Pending,5
2022,Canada,Timothy Hall,fdillon@example.net,(698) 973-4014,Scheduled Demo,Yes,/event.php,153.20838582480806,PayPal,Resolved,4
2022,Netherlands,Jeffery Cooper,jonsharp@example.com,517.775.5704x48520,Chatting with Sales Representative,No,/index.html,244.06619832637003,Debit Card,Failed,6
2024,China,Laura Golden,sheliajohnson@example.com,14579002678,AI-Powered Virtual Assistant,Yes,/images/events.jpg,262.62426439934166,Bank Transfer,Pending,6
2024,Zambia,Brenda Barrett,kristine16@example.org,583-786-5444,Chatting with Sales Representative,No,/scheduledemo.php,381.9866046894802,Debit Card,Pending,4
2025,Portugal,Aaron Gray,randerson@example.com,(513)707-8022x8298,Scheduled Demo,Yes,/images/events.jpg,305.56518331956386,PayPal,Pending,6
2024,Japan,Maria Warren,brandybrown@example.net,070-8338-9068,Prototyping solutions,No,/images/events.jpg,439.3276442495945,PayPal,Pending,6
2025,Australia,Christopher Wolfe,pnicholson@example.net,(08) 6881 4361,Prototyping solutions,No,/index.html,336.6073450364013,Bank Transfer,Failed,3
2023,Spain,Joanne Watson,johnroy@example.org,365-390-9413,Software Assistance,No,/index.html,343.2754112543792,PayPal,Resolved,4
2025,Jamaica,Benjamin Jimenez,ibowman@example.net,+1-443-339-2707x742,Scheduled Demo,No,/prototype.php,442.4865453334169,Credit Card,Pending,3
2025,USA,Jennifer Mitchell,nwalker@example.com,001-249-553-6954,Software Assistance,No,/index.html,329.863246463856,Credit Card,Pending,7
2023,Brazil,Joshua Barton,christinehendrix@example.net,+55 61 8708 8815,Software Assistance,Yes,/event.php,375.0402513054189,Debit Card,Pending,4
2023,Portugal,Samantha Grant,ksalinas@example.net,691-270-3307,Inquiring about Events,No,/images/events.jpg,253.9937272085408,Bank Transfer,Pending,4
2023,Australia,Jonathan Wilkinson,kgray@example.org,08-1144-5577,AI-Powered Virtual Assistant,No,/prototype.php,399.78698186128037,PayPal,Failed,6
2023,Jamaica,Stacey Acevedo,nancyclements@example.com,+1-618-694-0828x889,Scheduled Demo,Yes,/prototype.php,330.22520118273957,PayPal,Pending,5
2022,Japan,John Brooks,pacealice@example.org,40-7314-6115,Software Assistance,Yes,/images/events.jpg,138.86377566163623,Credit Card,Pending,6
2023,Russia,Elizabeth Brooks,gerald31@example.com,81991595901,Inquiring about Events,No,/scheduledemo.php,344.0684199856317,Bank Transfer,Resolved,5
2025,Zimbabwe,Edward Coleman,yhernandez@example.net,+1-428-485-2739x24848,Software Assistance,No,/prototype.php,473.6572136716828,PayPal,Resolved,7
