Year,Country,Customer Name,Email,Phone Number,Job Requested,Event Participation,Page Accessed,Sales Revenue,Payment Method,Resolution Status,Satisfaction Rating
2022,Canada,Dawn Gomez,tswanson@example.net,334.741.0145,Chatting with Sales Representative,Yes,/images/events.jpg,430.7759640785184,PayPal,Pending,6
2025,Zimbabwe,Daniel Thomas,joshuasmith@example.net,+1-747-654-2173x2587,Chatting with Sales Representative,Yes,/images/events.jpg,314.8297980989861,Debit Card,Resolved,7
2025,Canada,Abigail Johnson PhD,annedavid@example.com,(766) 154-3994 x176,Prototyping solutions,No,/images/events.jpg,415.8966691824282,PayPal,Resolved,3
2024,Canada,Jon Scott,lisa67@example.org,+1 (414) 323-0609,Prototyping solutions,Yes,/prototype.php,411.37972535189175,PayPal,Failed,7
2023,Canada,Tyler Bailey,uwright@example.net,185 720 0434,Prototyping solutions,No,/index.html,437.5691988563255,Bank Transfer,Failed,4
2023,Portugal,Ann Foster,kristina84@example.com,250.397.7849x63118,Scheduled Demo,No,/scheduledemo.php,455.89874312265187,PayPal,Failed,4
2022,Portugal,Jennifer Johnston,murrayzachary@example.com,001-611-370-0219x84687,AI-Powered Virtual Assistant,No,/event.php,219.07934379782245,PayPal,Pending,3
2022,Russia,Linda Lucero,sarahsimon@example.net,+7 991 231 3855,Prototyping solutions,No,/prototype.php,485.663018546981,Debit Card,Pending,3
2024,Canada,Jacob Liu,jonathanjohnson@example.net,409 116 9708,Chatting with Sales Representative,Yes,/images/events.jpg,485.27448464179577,Credit Card,Pending,3
2022,Russia,Jason Lin,ericcampbell@example.org,84710369274,Chatting with Sales Representative,Yes,/index.html,181.10579615354135,Bank Transfer,Failed,3
2023,Zambia,Joseph Harris,elizabethrobbins@example.org,(749)547-8140,Chatting with Sales Representative,Yes,/images/events.jpg,436.5659555326706,Credit Card,Resolved,7
2025,Spain,Jill Love,amywalker@example.org,714-975-9297x3261,AI-Powered Virtual Assistant,No,/scheduledemo.php,401.473744776053,Bank Transfer,Failed,5
2022,Zambia,Michelle Hale,katherinemclean@example.net,(891)419-1376,Software Assistance,Yes,/index.html,210.69978236787648,Credit Card,Failed,5
2022,India,Clinton Nguyen,juliesmith@example.net,06330510061,Inquiring about Events,No,/images/events.jpg,434.99635311897026,Bank Transfer,Failed,6
2024,Jamaica,Terry Chandler,keithhughes@example.org,719-231-9466x66416,Chatting with Sales Representative,No,/scheduledemo.php,107.74613852881205,Credit Card,Failed,5
2022,France,Brian Rowe,haysjoseph@example.net,0638598512,AI-Powered Virtual Assistant,Yes,/prototype.php,342.4049224688827,Credit Card,Resolved,4
2023,France,Riley Rowe,udavis@example.net,05 47 56 52 51,Prototyping solutions,Yes,/prototype.php,436.9393876973233,Credit Card,Resolved,4
2024,China,Todd Vargas,vpotts@example.org,13087906728,Prototyping solutions,No,/images/events.jpg,146.49808292866715,Credit Card,Failed,6
2022,Russia,Bradley Hodge,lawrencetasha@example.com,+7 603 184 6423,Scheduled Demo,Yes,/event.php,216.7639843127419,PayPal,Failed,7
2022,Japan,Jeffrey Cooper,mho@example.org,080-4578-9903,AI-Powered Virtual Assistant,Yes,/event.php,362.073347566819,Debit Card,Resolved,5
2022,Jamaica,Eddie Nguyen,swright@example.com,(673)810-4773x682,AI-Powered Virtual Assistant,Yes,/event.php,155.73443067605015,PayPal,Failed,7
2025,UK,Katherine Fisher,dakotachavez@example.com,+44(0)131 4960014,Prototyping solutions,No,/scheduledemo.php,192.5401363519553,PayPal,Failed,6
2025,Zimbabwe,Johnny Miller,jeffery45@example.com,(468)772-2725x8542,AI-Powered Virtual Assistant,No,/scheduledemo.php,398.7624278257285,PayPal,Pending,7
2023,Netherlands,Monica Nguyen,carolyn28@example.com,+1-890-921-0955x217,Prototyping solutions,Yes,/scheduledemo.php,395.6204337366203,Bank Transfer,Failed,4
2025,Portugal,Kimberly Smith,ydelgado@example.org,(604)846-8568x42799,Scheduled Demo,Yes,/scheduledemo.php,434.7270918996599,Bank Transfer,Pending,6
2023,Brazil,Tabitha Hall,carlsonangel@example.net,81 8423-9195,Scheduled Demo,No,/index.html,392.4781566169793,PayPal,Pending,4
2025,Portugal,James Murray,dominiquedalton@example.com,886-631-8680,Prototyping solutions,Yes,/images/events.jpg,407.38362565263793,Debit Card,Resolved,3
2025,China,Sierra Hess,samuelsmith@example.net,18013663482,Scheduled Demo,No,/prototype.php,360.8374926050645,Debit Card,Pending,3
2023,China,Chris Harrison,yfranklin@example.net,13779914568,Software Assistance,No,/index.html,181.77583029776704,Bank Transfer,Failed,7
2022,China,Suzanne Suarez,joshua14@example.com,15779697818,Chatting with Sales Representative,Yes,/images/events.jpg,492.33064598319413,Credit Card,Failed,7
2024,Germany,Vanessa Clark,cmanning@example.org,+49(0) 948950414,AI-Powered Virtual Assistant,Yes,/scheduledemo.php,123.34358646255299,Debit Card,Resolved,5
2025,Australia,Anne Mitchell,dcollins@example.net,0441 892 482,Chatting with Sales Representative,No,/images/events.jpg,446.7129756054309,Debit Card,Pending,6
2024,France,Kaitlyn Mendoza,wsellers@example.net,05 35 11 86 57,AI-Powered Virtual Assistant,Yes,/index.html,173.69269413115222,Debit Card,Resolved,6
2023,Zimbabwe,Victor Silva,fhernandez@example.net,206.213.7408x751,Software Assistance,Yes,/event.php,210.15385951226526,Bank Transfer,Resolved,6
2025,China,Adam Brown,lesliegallagher@example.net,13812732301,Prototyping solutions,No,/prototype.php,155.55852629414053,Credit Card,Resolved,5
2023,Brazil,Cody Gonzalez,brooksmatthew@example.net,+55 (051) 0601 6406,AI-Powered Virtual Assistant,No,/images/events.jpg,221.98716704662576,Credit Card,Failed,6
2025,Zimbabwe,Robert Martinez,jessica22@example.org,001-437-860-5656,Inquiring about Events,No,/prototype.php,278.6289502720067,Bank Transfer,Failed,6
2022,China,Tara Lloyd,melanie97@example.com,18115992400,Chatting with Sales Representative,Yes,/index.html,110.86635652572166,Debit Card,Failed,4
2024,Spain,Susan Rogers,michelle38@example.org,534-980-2473,Scheduled Demo,Yes,/event.php,389.90482346426825,PayPal,Failed,7
2023,Jamaica,Kristie Wilson,leethomas@example.com,3032097046,Software Assistance,Yes,/event.php,159.13318791757024,Bank Transfer,Failed,4
2025,France,Emily Morgan,taylor14@example.net,01 48 94 24 55,Software Assistance,Yes,/prototype.php,191.14664086023026,PayPal,Pending,6
2024,Spain,Ryan Jackson,steven78@example.org,+1-731-555-5553x8061,AI-Powered Virtual Assistant,No,/images/events.jpg,375.67830400388664,Bank Transfer,Pending,3
2025,Germany,Kristen Thompson,jeremy68@example.net,+49(0)0122 992919,AI-Powered Virtual Assistant,Yes,/index.html,421.4186402187682,Debit Card,Failed,7
2025,Canada,Sean Ingram,sallyreed@example.com,242-291-1606,Prototyping solutions,Yes,/scheduledemo.php,131.2118461973253,Credit Card,Pending,7
2024,Japan,Erica Conley,ileach@example.net,070-0254-9980,Software Assistance,Yes,/event.php,325.29475368814224,Credit Card,Failed,6
2022,Russia,Jeffrey Turner,jkent@example.net,+7 352 557 07 24,Chatting with Sales Representative,Yes,/event.php,379.80933617522703,Bank Transfer,Pending,4
2025,China,Beverly Ashley,amber08@example.org,18271754576,AI-Powered Virtual Assistant,Yes,/prototype.php,361.19846848532717,Debit Card,Pending,5
2024,Spain,Sara Stevens,bradleyleah@example.com,980-219-2228x4376,Chatting with Sales Representative,Yes,/event.php,490.6629090385506,Credit Card,Resolved,4
2024,Jamaica,Mark Maldonado,roberthayes@example.org,001-636-568-4958x16116,Chatting with Sales Representative,No,/index.html,169.26348549717716,Bank Transfer,Resolved,3
