Year,Country,Customer Name,Email,Phone Number,Job Requested,Response Time,Event Participation,Page Accessed,Sales Revenue,Payment Method,Resolution Status,Satisfaction Rating
2023,Spain,Ronald Jackson,wsullivan@example.net,001-918-397-8314x975,Prototyping solutions,"(10,)",No,/index.html,224.38879035941844,PayPal,Resolved,4
2022,Brazil,Michael Pruitt,dianeray@example.net,51 1543 2885,Software Assistance,"(13,)",Yes,/index.html,377.0623323185631,Credit Card,Failed,8
2022,Australia,Randall Cross,erintaylor@example.com,1414-7743,AI-Powered Virtual Assistant,"(51,)",No,/event.php,366.94602751469927,PayPal,Failed,6
2024,Germany,Chase Brennan,curtisclements@example.com,0569444878,Chatting with Sales Representative,"(54,)",No,/prototype.php,201.28904269752252,Credit Card,Pending,7
2025,Australia,Jonathan Thomas,cartergregory@example.org,(08)-0296-2383,Software Assistance,"(2,)",Yes,/event.php,349.94543464775023,Debit Card,Failed,8
2024,Russia,James King,mathisbrian@example.com,8 877 420 7975,Inquiring about Events,"(59,)",Yes,/scheduledemo.php,249.76845499758502,Debit Card,Resolved,5
2023,USA,Amber Bautista,jodyryan@example.org,8243134309,AI-Powered Virtual Assistant,"(5,)",No,/index.html,499.4341405297553,Credit Card,Pending,7
2025,India,Matthew Sullivan,reyesmelissa@example.org,05295475238,Scheduled Demo,"(48,)",Yes,/images/events.jpg,305.0941639412626,Credit Card,Failed,6
2025,Zambia,Kristen Gregory,anthony12@example.org,+1-379-701-8172x29050,Chatting with Sales Representative,"(20,)",No,/prototype.php,168.41919244611046,Bank Transfer,Pending,6
2023,Netherlands,Joseph Turner,andrew24@example.net,213.617.6637x0429,Scheduled Demo,"(59,)",No,/event.php,306.29669745452827,Debit Card,Failed,5
2022,UK,Kimberly Davis,andreamendoza@example.org,743.388.7587x0758,Prototyping solutions,"(21,)",No,/scheduledemo.php,484.42069635098676,Credit Card,Failed,4
2025,UK,Chloe Murillo,justin73@example.com,657.529.0897x7089,Scheduled Demo,"(5,)",No,/index.html,432.36881658183927,Credit Card,Failed,7
2025,Canada,Casey Rivera,emilyolson@example.org,120-034-3511,Scheduled Demo,"(42,)",No,/images/events.jpg,426.6300756668813,Credit Card,Failed,8
2024,Zimbabwe,Yesenia Bates,watsonmason@example.net,4124118387,AI-Powered Virtual Assistant,"(28,)",No,/images/events.jpg,370.3183162901837,PayPal,Failed,8
2024,India,Tara Pierce,uhoffman@example.org,2884394647,Scheduled Demo,"(5,)",No,/scheduledemo.php,461.3899809934837,Bank Transfer,Pending,7
2024,Canada,Christina Gill,bbailey@example.com,+1 (661) 916-7574,Inquiring about Events,"(14,)",Yes,/index.html,360.92110268443315,Bank Transfer,Resolved,7
2025,Zambia,Wendy Warren,amy39@example.com,584.665.1236x8669,Software Assistance,"(25,)",Yes,/index.html,272.6122063246182,Debit Card,Failed,7
2024,India,Michael Atkinson,jonathanjones@example.org,+913894139900,AI-Powered Virtual Assistant,"(60,)",Yes,/event.php,227.0983786675559,Bank Transfer,Failed,8
2022,Canada,Dr. Brian Cox,osmith@example.net,1-892-641-2053,AI-Powered Virtual Assistant,"(8,)",Yes,/scheduledemo.php,190.15854855083577,Debit Card,Resolved,8
2023,Spain,Gabriel Johnson,richardsoncharles@example.com,+1-893-329-4630x3057,AI-Powered Virtual Assistant,"(53,)",No,/scheduledemo.php,307.2892293223564,Credit Card,Pending,5
2023,Japan,Kenneth Grimes,yprice@example.com,070-4988-1147,AI-Powered Virtual Assistant,"(11,)",No,/scheduledemo.php,237.2602228032171,Credit Card,Failed,8
2024,Germany,Eugene Wong,qjohnson@example.com,+49(0)8563 66409,Chatting with Sales Representative,"(33,)",No,/index.html,259.6864109212815,Debit Card,Resolved,6
2025,UK,Morgan Gonzalez,srios@example.net,(664)223-7087x34990,Chatting with Sales Representative,"(30,)",Yes,/scheduledemo.php,494.3719264110172,Bank Transfer,Pending,7
2025,Canada,Nicole Brewer,samanthapowell@example.net,459-488-3359 x580,Software Assistance,"(53,)",No,/scheduledemo.php,468.63174909437527,Bank Transfer,Resolved,4
2022,Japan,Phillip Carrillo,erobbins@example.com,080-8139-3532,Prototyping solutions,"(44,)",No,/index.html,498.53400942902823,Debit Card,Pending,5
2024,Netherlands,Brian Fisher,millersusan@example.net,(625)679-0848,Chatting with Sales Representative,"(26,)",No,/images/events.jpg,412.4307689728707,Debit Card,Resolved,7
2024,Zambia,Alan Baker,vegajose@example.org,4283657389,AI-Powered Virtual Assistant,"(57,)",Yes,/index.html,311.96689057248653,Credit Card,Pending,7
2025,USA,Christine Stevenson,rachelcannon@example.com,001-431-730-1551x38184,Software Assistance,"(13,)",No,/event.php,246.64614061963195,PayPal,Failed,5
2023,Australia,Nicholas Melendez,donnaweiss@example.org,+61240021407,Prototyping solutions,"(25,)",No,/prototype.php,134.67552272097123,Debit Card,Resolved,6
2023,Germany,Jennifer Garcia,amandakennedy@example.org,01097 94064,Software Assistance,"(8,)",No,/images/events.jpg,378.8040913652196,Bank Transfer,Resolved,8
2023,UK,Carrie Dunn,katkins@example.org,247.577.0387x4649,Prototyping solutions,"(13,)",Yes,/event.php,113.34940595224525,Bank Transfer,Failed,4
2022,Jamaica,Connie Orr,angel10@example.com,520-286-7054,AI-Powered Virtual Assistant,"(4,)",Yes,/prototype.php,351.79739318641896,PayPal,Failed,5
2022,Russia,William Reese,shari15@example.net,+7 (073) 845-84-32,Prototyping solutions,"(6,)",Yes,/images/events.jpg,332.03947239607874,PayPal,Failed,7
2025,Australia,Robert Price MD,lbennett@example.com,0438.412.016,AI-Powered Virtual Assistant,"(32,)",Yes,/event.php,478.68043670602526,Bank Transfer,Failed,4
2022,Germany,Patricia Robinson,katieyates@example.com,0341110371,Chatting with Sales Representative,"(37,)",Yes,/prototype.php,285.9959984584975,Debit Card,Pending,4
2023,Zambia,Sandra Nicholson,denise60@example.com,001-465-621-3334x97307,Scheduled Demo,"(43,)",No,/scheduledemo.php,207.89478415937333,PayPal,Failed,7
2024,Portugal,Samantha Alexander,reedkathleen@example.org,(955)377-9917,Chatting with Sales Representative,"(58,)",Yes,/scheduledemo.php,417.12564275160287,Bank Transfer,Resolved,7
