Year,Country,Customer Name,Email,Phone Number,Job Requested,Response Time,Event Participation,Page Accessed,Sales Revenue,Payment Method,Resolution Status,Satisfaction Rating
2023,Spain,Ronald Jackson,wsullivan@example.net,001-918-397-8314x975,Software Assistance,"(10,)",No,/index.html,478.15122211671076,PayPal,Failed,3
2022,Brazil,Michael Pruitt,dianeray@example.net,51 1543 2885,AI-Powered Virtual Assistant,"(13,)",No,/index.html,453.84180639932754,Credit Card,Pending,7
2022,Australia,Randall Cross,erintaylor@example.com,1414-7743,Inquiring about Events,"(51,)",No,/event.php,202.57697837111613,PayPal,Resolved,5
2024,Germany,Chase Brennan,curtisclements@example.com,0569444878,Inquiring about Events,"(54,)",No,/prototype.php,326.3525079375795,Credit Card,Failed,6
2025,Australia,Jonathan Thomas,cartergregory@example.org,(08)-0296-2383,Prototyping solutions,"(2,)",No,/event.php,473.1624958687842,Debit Card,Pending,7
2024,Russia,James King,mathisbrian@example.com,8 877 420 7975,Scheduled Demo,"(59,)",No,/scheduledemo.php,215.52945541430626,Debit Card,Failed,4
2023,USA,Amber Bautista,jodyryan@example.org,8243134309,AI-Powered Virtual Assistant,"(5,)",No,/index.html,218.01864115080855,Credit Card,Pending,6
2025,India,Matthew Sullivan,reyesmelissa@example.org,05295475238,Scheduled Demo,"(48,)",Yes,/images/events.jpg,153.3043830503974,Credit Card,Resolved,5
2025,Zambia,Kristen Gregory,anthony12@example.org,+1-379-701-8172x29050,AI-Powered Virtual Assistant,"(20,)",No,/prototype.php,105.06863196314606,Bank Transfer,Failed,5
2023,Netherlands,Joseph Turner,andrew24@example.net,213.617.6637x0429,AI-Powered Virtual Assistant,"(59,)",Yes,/event.php,350.1384779454511,Debit Card,Resolved,4
2022,UK,Kimberly Davis,andreamendoza@example.org,743.388.7587x0758,Inquiring about Events,"(21,)",Yes,/scheduledemo.php,289.00681208316746,Credit Card,Failed,3
2025,UK,Chloe Murillo,justin73@example.com,657.529.0897x7089,Software Assistance,"(5,)",Yes,/index.html,212.48998872542933,Credit Card,Resolved,6
2025,Canada,Casey Rivera,emilyolson@example.org,120-034-3511,Scheduled Demo,"(42,)",No,/images/events.jpg,129.4673769873095,Credit Card,Pending,7
2024,Zimbabwe,Yesenia Bates,watsonmason@example.net,4124118387,Prototyping solutions,"(28,)",Yes,/images/events.jpg,180.72020153975097,PayPal,Pending,7
2024,India,Tara Pierce,uhoffman@example.org,2884394647,Scheduled Demo,"(5,)",No,/scheduledemo.php,209.4852659517016,Bank Transfer,Resolved,6
2024,Canada,Christina Gill,bbailey@example.com,+1 (661) 916-7574,Software Assistance,"(14,)",Yes,/index.html,363.025207276077,Bank Transfer,Failed,6
2025,Zambia,Wendy Warren,amy39@example.com,584.665.1236x8669,Software Assistance,"(25,)",Yes,/index.html,252.0727128073997,Debit Card,Pending,6
